episodes,steps,total reward
116,10000,6.0
219,20000,27.0
318,30000,36.0
472,40000,90.0
804,50000,216.0
1137,60000,231.0
1482,70000,238.0
1834,80000,243.0
2182,90000,239.0
2517,100000,247.0
