episodes,steps,total reward
109,10000,6.0
210,20000,27.0
309,30000,43.0
476,40000,97.0
783,50000,214.0
1127,60000,230.0
1468,70000,231.0
1830,80000,237.0
2184,90000,240.0
2524,100000,257.0
