episodes,steps,total reward
128,10000,9.0
212,20000,25.0
283,30000,30.0
398,40000,45.0
671,50000,201.0
1038,60000,303.0
1426,70000,318.0
1835,80000,330.0
2257,90000,325.0
2673,100000,345.0
