# {"t_start": 1662807353.005776, "env_id": "Office-single-v1"} 
r,l,t
0.0,39,0.001279
0.0,12,0.001614
0.0,66,0.003099
0.0,44,0.004089
0.0,7,0.004288
0.0,25,0.004883
0.0,22,0.005397
0.0,53,0.006963
0.0,51,0.008351
0.0,5,0.008886
0.0,21,0.010083
0.0,36,0.010985
0.0,94,0.013042
0.0,69,0.014562
0.0,51,0.015789
0.0,57,0.017069
0.0,48,0.018166
0.0,16,0.018561
0.0,12,0.018863
0.0,144,0.022311
0.0,18,0.022771
0.0,30,0.023647
0.0,113,0.026268
0.0,9,0.026521
0.0,85,0.02842
0.0,44,0.029419
0.0,63,0.030955
0.0,126,0.033975
0.0,22,0.034519
0.0,119,0.037185
0.0,88,0.039168
0.0,49,0.040465
0.0,61,0.041989
0.0,17,0.042831
0.0,55,0.044157
0.0,11,0.044449
0.0,58,0.045988
0.0,17,0.046489
0.0,51,0.04777
0.0,156,0.051699
0.0,83,0.054448
0.0,12,0.05484
0.0,87,0.057393
0.0,217,0.070014
0.0,205,0.076509
0.0,243,0.082067
0.0,38,0.083009
0.0,227,0.088031
0.0,154,0.091574
0.0,132,0.094543
0.0,30,0.095261
0.0,27,0.095889
0.0,220,0.100895
0.0,36,0.101756
0.0,12,0.102073
0.0,75,0.103757
0.0,235,0.109911
0.0,370,0.118786
0.0,35,0.119647
0.0,47,0.120728
0.0,113,0.123504
0.0,44,0.124535
0.0,27,0.125166
0.0,162,0.128856
0.0,93,0.130944
0.0,175,0.135043
0.0,12,0.135383
0.0,23,0.135931
0.0,154,0.139294
0.0,132,0.143117
0.0,325,0.150471
0.0,277,0.156912
0.0,124,0.159884
0.0,54,0.161146
0.0,16,0.161547
0.0,26,0.162158
1.0,132,0.165222
0.0,65,0.166822
0.0,33,0.167585
0.0,12,0.167889
0.0,95,0.170003
0.0,21,0.170505
0.0,219,0.176119
0.0,229,0.181312
1.0,163,0.184957
0.0,71,0.186583
0.0,50,0.187734
0.0,26,0.188343
0.0,9,0.188587
0.0,70,0.190391
0.0,203,0.194951
0.0,109,0.197366
0.0,29,0.198157
0.0,21,0.198714
0.0,75,0.200379
0.0,78,0.202156
0.0,66,0.203651
0.0,41,0.20459
0.0,69,0.206153
0.0,88,0.208199
0.0,131,0.211927
0.0,25,0.21256
0.0,45,0.213596
0.0,76,0.215296
0.0,12,0.215639
1.0,123,0.218362
0.0,74,0.220061
0.0,9,0.220308
0.0,246,0.227025
0.0,20,0.227614
1.0,251,0.233402
0.0,17,0.233862
0.0,18,0.234302
0.0,10,0.23457
0.0,10,0.234828
0.0,86,0.236729
0.0,140,0.240015
1.0,182,0.24535
0.0,19,0.245883
0.0,11,0.246211
1.0,144,0.249407
0.0,55,0.250673
1.0,240,0.25669
1.0,145,0.260162
0.0,224,0.265146
0.0,63,0.266528
0.0,190,0.270637
0.0,126,0.27344
0.0,19,0.273905
0.0,31,0.274624
1.0,338,0.282772
0.0,100,0.285137
0.0,8,0.285394
0.0,81,0.287233
1.0,246,0.293075
0.0,61,0.294492
0.0,11,0.294787
0.0,238,0.300273
0.0,64,0.301686
1.0,98,0.303809
1.0,207,0.308547
0.0,14,0.30934
0.0,190,0.314524
1.0,179,0.318902
0.0,38,0.320042
1.0,187,0.324354
1.0,145,0.327723
0.0,160,0.331501
0.0,141,0.334601
1.0,146,0.337844
0.0,13,0.338177
0.0,124,0.340909
0.0,215,0.346887
