episodes,steps,total reward
122,10000,6.0
215,20000,29.0
333,30000,40.0
496,40000,103.0
807,50000,210.0
1117,60000,229.0
1461,70000,243.0
1808,80000,245.0
2151,90000,244.0
2492,100000,252.0
