episodes,steps,total reward
132,10000,11.0
225,20000,22.0
306,30000,31.0
407,40000,39.0
663,50000,170.0
1025,60000,292.0
1437,70000,331.0
1860,80000,347.0
2294,90000,339.0
2713,100000,344.0
