episodes,steps,total reward
116,10000,5.0
224,20000,27.0
325,30000,41.0
498,40000,98.0
821,50000,222.0
1154,60000,238.0
1484,70000,238.0
1833,80000,244.0
2175,90000,246.0
2526,100000,245.0
