episodes,steps,total reward
114,10000,8.0
218,20000,25.0
318,30000,43.0
480,40000,100.0
805,50000,229.0
1148,60000,242.0
1501,70000,238.0
1852,80000,240.0
2204,90000,248.0
2543,100000,248.0
