episodes,steps,total reward
113,10000,9.0
201,20000,27.0
292,30000,41.0
466,40000,108.0
786,50000,215.0
1131,60000,230.0
1473,70000,244.0
1817,80000,253.0
2174,90000,241.0
2525,100000,240.0
