episodes,steps,total reward
102,10000,8.0
190,20000,29.0
290,30000,37.0
478,40000,104.0
806,50000,228.0
1145,60000,228.0
1474,70000,241.0
1822,80000,244.0
2176,90000,235.0
2524,100000,242.0
