episodes,steps,total reward
122,10000,11.0
204,20000,24.0
290,30000,28.0
408,40000,45.0
656,50000,186.0
1029,60000,307.0
1437,70000,318.0
1866,80000,335.0
2294,90000,334.0
2708,100000,323.0
