# {"t_start": 1662807588.067412, "env_id": "Office-single-v0"} 
r,l,t
0.0,9,0.000608
0.0,80,0.002473
0.0,21,0.002969
0.0,25,0.003814
0.0,21,0.00432
0.0,35,0.005109
0.0,36,0.00593
0.0,19,0.006392
0.0,121,0.009675
0.0,14,0.010052
0.0,53,0.011233
0.0,54,0.012484
0.0,81,0.014351
0.0,22,0.014882
0.0,59,0.01621
0.0,50,0.017331
0.0,64,0.018761
0.0,23,0.019814
0.0,66,0.021422
0.0,105,0.025668
0.0,20,0.02623
0.0,55,0.027577
0.0,90,0.029726
0.0,111,0.033165
0.0,44,0.037511
0.0,38,0.039145
0.0,38,0.040499
0.0,25,0.041193
0.0,88,0.0435
0.0,55,0.044865
0.0,47,0.04594
0.0,125,0.048732
0.0,27,0.049389
0.0,13,0.049722
0.0,88,0.05172
1.0,128,0.054768
0.0,20,0.055303
0.0,9,0.055708
0.0,24,0.056745
0.0,62,0.058237
0.0,74,0.060279
0.0,47,0.061548
0.0,79,0.063705
0.0,124,0.067133
0.0,63,0.068574
0.0,105,0.071188
0.0,121,0.073988
0.0,63,0.075438
0.0,18,0.075895
0.0,5,0.076081
0.0,23,0.076637
0.0,54,0.077863
0.0,6,0.07806
0.0,13,0.078399
0.0,74,0.08006
0.0,81,0.081934
0.0,14,0.082291
0.0,109,0.084897
0.0,58,0.086268
0.0,6,0.086458
0.0,39,0.087478
0.0,5,0.087664
0.0,87,0.090525
0.0,5,0.090897
0.0,10,0.091268
0.0,85,0.093322
0.0,31,0.094051
0.0,91,0.096078
0.0,17,0.096532
0.0,83,0.098388
0.0,43,0.099354
0.0,7,0.09955
0.0,5,0.099699
0.0,77,0.101406
0.0,152,0.105502
0.0,174,0.109755
0.0,64,0.111234
0.0,87,0.113453
0.0,50,0.114606
0.0,66,0.116181
0.0,40,0.117107
1.0,327,0.125156
0.0,62,0.126611
0.0,231,0.131732
1.0,250,0.137535
0.0,139,0.140787
0.0,73,0.14249
0.0,66,0.143983
0.0,9,0.144228
0.0,65,0.145724
0.0,153,0.149105
0.0,181,0.153099
0.0,71,0.154769
0.0,12,0.155565
1.0,399,0.165068
0.0,219,0.170134
0.0,22,0.170706
0.0,69,0.172278
0.0,169,0.17611
0.0,9,0.176366
0.0,42,0.177368
0.0,130,0.180278
1.0,176,0.184157
1.0,406,0.193993
0.0,243,0.200899
0.0,133,0.204212
0.0,4,0.204389
0.0,120,0.207257
1.0,131,0.210203
0.0,17,0.21063
0.0,85,0.212566
1.0,309,0.21967
1.0,192,0.22487
1.0,478,0.235438
0.0,4,0.235604
0.0,30,0.236299
1.0,172,0.240605
0.0,2,0.240728
0.0,186,0.245049
0.0,19,0.245509
0.0,13,0.245828
0.0,23,0.24643
1.0,211,0.251253
1.0,224,0.25699
0.0,4,0.257177
0.0,92,0.259189
0.0,65,0.260627
1.0,188,0.264646
1.0,280,0.270931
0.0,7,0.271142
0.0,306,0.278119
0.0,20,0.278637
0.0,262,0.284239
0.0,34,0.285015
0.0,192,0.290436
0.0,93,0.29264
1.0,219,0.297952
1.0,165,0.30155
0.0,49,0.302706
0.0,81,0.304933
0.0,14,0.305335
0.0,208,0.310896
1.0,112,0.313816
0.0,65,0.315462
0.0,50,0.316901
1.0,215,0.322342
0.0,14,0.322945
1.0,212,0.327892
0.0,208,0.332431
1.0,182,0.336623
0.0,152,0.340012
0.0,94,0.342126
1.0,142,0.345435
0.0,96,0.347505
0.0,7,0.3477
0.0,53,0.348864
0.0,19,0.34931
0.0,142,0.352376
0.0,131,0.355868
1.0,204,0.360937
0.0,31,0.361666
0.0,91,0.363633
0.0,5,0.363787
1.0,229,0.36871
1.0,186,0.372968
0.0,120,0.375667
0.0,168,0.379307
1.0,255,0.384726
1.0,137,0.387745
1.0,136,0.391968
0.0,73,0.393606
0.0,223,0.398386
0.0,66,0.400168
0.0,90,0.402166
0.0,9,0.402403
0.0,46,0.403628
0.0,18,0.404068
0.0,249,0.409562
0.0,8,0.409783
1.0,177,0.413667
0.0,168,0.417275
0.0,24,0.41783
0.0,24,0.418389
0.0,71,0.419943
0.0,14,0.420353
1.0,159,0.424842
0.0,190,0.428997
0.0,83,0.430799
0.0,15,0.431165
0.0,86,0.433192
0.0,94,0.435545
1.0,166,0.440189
0.0,99,0.442568
0.0,38,0.443729
1.0,214,0.448493
1.0,164,0.452298
0.0,65,0.454061
0.0,220,0.459636
1.0,284,0.465917
0.0,35,0.46674
0.0,87,0.468689
1.0,194,0.473219
0.0,111,0.475795
0.0,195,0.480423
0.0,264,0.48632
0.0,44,0.487352
0.0,80,0.48983
1.0,176,0.494083
1.0,206,0.498576
0.0,66,0.500083
0.0,52,0.501263
0.0,27,0.501878
0.0,14,0.502216
0.0,16,0.502597
0.0,446,0.512868
0.0,28,0.513548
0.0,270,0.519315
0.0,41,0.520395
0.0,17,0.520914
0.0,180,0.526039
1.0,132,0.52911
1.0,223,0.534026
1.0,103,0.536285
0.0,168,0.540838
0.0,10,0.541153
0.0,9,0.54141
0.0,158,0.545401
1.0,112,0.548282
0.0,27,0.548924
0.0,159,0.552755
0.0,44,0.553969
0.0,95,0.556647
1.0,117,0.559516
1.0,189,0.563655
1.0,333,0.571102
0.0,60,0.572524
0.0,107,0.574941
1.0,257,0.580509
0.0,272,0.586576
0.0,17,0.587073
0.0,14,0.587415
0.0,50,0.588653
1.0,193,0.593691
0.0,26,0.594323
0.0,89,0.596234
1.0,162,0.599708
0.0,12,0.60001
0.0,45,0.601001
0.0,10,0.601256
0.0,180,0.605348
0.0,166,0.609008
1.0,128,0.612043
0.0,38,0.612897
0.0,160,0.616281
1.0,154,0.619539
0.0,27,0.620137
1.0,78,0.622079
1.0,306,0.629707
0.0,96,0.63182
0.0,99,0.633955
1.0,106,0.636261
1.0,178,0.640373
0.0,40,0.641278
0.0,26,0.641877
0.0,33,0.642615
0.0,115,0.64511
1.0,170,0.648725
0.0,28,0.649358
0.0,49,0.650434
1.0,99,0.65253
0.0,21,0.653013
0.0,47,0.654073
1.0,220,0.65972
1.0,252,0.665086
0.0,162,0.66872
1.0,77,0.6707
0.0,231,0.675987
0.0,53,0.677159
0.0,193,0.681377
0.0,30,0.682057
1.0,301,0.688916
0.0,19,0.689778
1.0,227,0.694762
0.0,51,0.695961
1.0,298,0.702571
0.0,4,0.702708
0.0,44,0.70396
1.0,287,0.710383
1.0,106,0.712752
0.0,106,0.7155
0.0,107,0.718061
0.0,108,0.720463
0.0,78,0.722804
1.0,151,0.726322
1.0,110,0.728704
1.0,133,0.731553
0.0,39,0.732441
0.0,51,0.733614
0.0,236,0.738972
1.0,76,0.740754
0.0,79,0.742482
0.0,8,0.742693
0.0,220,0.74753
0.0,22,0.748045
0.0,62,0.749398
0.0,102,0.7516
0.0,76,0.753329
0.0,16,0.753781
1.0,103,0.756752
0.0,237,0.76207
1.0,60,0.763682
0.0,40,0.764592
0.0,8,0.764804
0.0,9,0.765043
0.0,21,0.765535
0.0,9,0.765764
0.0,48,0.76688
0.0,30,0.767561
0.0,56,0.768786
