episodes,steps,total reward
127,10000,11.0
216,20000,20.0
295,30000,29.0
392,40000,47.0
623,50000,168.0
1015,60000,313.0
1432,70000,328.0
1862,80000,333.0
2287,90000,343.0
2714,100000,349.0
