# {"t_start": 1662807632.922302, "env_id": "Office-single-v0"} 
r,l,t
0.0,24,0.001564
0.0,38,0.002504
0.0,11,0.002796
0.0,44,0.00378
0.0,15,0.004141
0.0,47,0.005209
0.0,53,0.006371
0.0,18,0.007091
0.0,67,0.008773
0.0,31,0.009555
0.0,8,0.009774
0.0,13,0.010089
0.0,38,0.010929
0.0,104,0.013166
0.0,17,0.013572
0.0,88,0.015704
0.0,12,0.016012
0.0,46,0.01706
0.0,7,0.017256
0.0,24,0.017822
0.0,40,0.01874
0.0,57,0.019994
0.0,21,0.020494
0.0,56,0.02173
0.0,97,0.023903
0.0,25,0.024482
0.0,50,0.025635
0.0,109,0.027977
0.0,85,0.02984
0.0,58,0.031105
0.0,90,0.033568
0.0,93,0.036079
0.0,22,0.036622
0.0,32,0.037331
0.0,24,0.037862
0.0,33,0.038583
0.0,73,0.040307
0.0,61,0.04162
0.0,49,0.042676
0.0,22,0.04323
0.0,73,0.044805
0.0,45,0.045784
0.0,207,0.051198
0.0,68,0.053065
0.0,23,0.053716
0.0,104,0.056338
0.0,52,0.05759
0.0,118,0.060404
0.0,102,0.062766
0.0,7,0.062962
0.0,51,0.064064
0.0,96,0.067603
0.0,15,0.06858
0.0,34,0.069706
0.0,5,0.069906
0.0,21,0.07056
0.0,98,0.07283
0.0,12,0.073166
0.0,47,0.074427
0.0,50,0.079949
0.0,5,0.080284
0.0,15,0.0812
0.0,62,0.083635
0.0,75,0.086187
0.0,46,0.087417
0.0,96,0.089849
0.0,71,0.091411
0.0,105,0.093703
0.0,101,0.095942
0.0,55,0.097207
0.0,43,0.098438
0.0,71,0.100222
0.0,76,0.102357
0.0,4,0.102524
0.0,40,0.103426
0.0,63,0.104824
1.0,158,0.108274
0.0,39,0.109207
0.0,98,0.111346
0.0,323,0.118488
0.0,180,0.122456
1.0,183,0.126559
0.0,19,0.127028
0.0,204,0.131497
0.0,88,0.133941
1.0,202,0.138712
0.0,31,0.139456
0.0,46,0.140482
0.0,13,0.140806
0.0,121,0.143466
0.0,14,0.143823
1.0,254,0.150155
1.0,159,0.153632
0.0,84,0.155477
0.0,42,0.156468
0.0,30,0.157159
0.0,148,0.160327
0.0,76,0.162009
1.0,158,0.165576
0.0,25,0.166225
0.0,131,0.169768
0.0,2,0.169888
0.0,435,0.179719
0.0,51,0.181037
0.0,7,0.181345
0.0,200,0.185723
0.0,217,0.190722
1.0,197,0.195128
1.0,191,0.199347
0.0,2,0.199476
0.0,100,0.202494
0.0,62,0.203911
0.0,4,0.20405
0.0,77,0.205759
0.0,35,0.206555
0.0,110,0.208952
1.0,207,0.213526
0.0,55,0.214997
0.0,128,0.217806
0.0,31,0.218519
0.0,75,0.22014
1.0,501,0.230798
0.0,188,0.235501
0.0,61,0.237253
0.0,70,0.239212
0.0,2,0.239466
1.0,146,0.243213
0.0,116,0.246576
0.0,13,0.246925
0.0,28,0.247849
0.0,107,0.250391
0.0,226,0.255636
0.0,102,0.258175
1.0,307,0.264823
0.0,59,0.266181
0.0,254,0.272197
1.0,142,0.275229
0.0,33,0.275968
0.0,50,0.277218
0.0,15,0.277593
0.0,152,0.280974
0.0,38,0.281997
0.0,158,0.285606
1.0,251,0.291585
1.0,146,0.2949
0.0,38,0.295762
0.0,9,0.295995
0.0,123,0.298735
0.0,59,0.300223
0.0,14,0.300716
0.0,66,0.302231
0.0,117,0.305187
0.0,19,0.30571
0.0,180,0.310201
0.0,13,0.310713
0.0,195,0.31515
0.0,17,0.315575
0.0,8,0.31579
0.0,30,0.316479
0.0,49,0.317561
0.0,306,0.324348
0.0,60,0.325673
0.0,115,0.328124
0.0,49,0.329204
1.0,211,0.3345
1.0,249,0.34033
1.0,198,0.344588
1.0,282,0.350831
1.0,106,0.353128
1.0,320,0.359982
0.0,16,0.360382
0.0,304,0.367434
0.0,114,0.370395
0.0,42,0.371345
0.0,14,0.371691
1.0,185,0.375572
0.0,132,0.378398
0.0,15,0.378763
0.0,159,0.382694
1.0,135,0.385545
0.0,175,0.389378
0.0,49,0.390542
1.0,98,0.392758
0.0,66,0.394247
1.0,338,0.402294
0.0,94,0.404446
0.0,28,0.405103
1.0,361,0.412795
0.0,52,0.413946
0.0,157,0.417516
0.0,20,0.417997
1.0,216,0.422605
0.0,109,0.424932
0.0,133,0.427713
0.0,146,0.431335
0.0,42,0.432431
0.0,14,0.432827
0.0,16,0.433515
0.0,55,0.435409
1.0,334,0.442521
0.0,16,0.442913
0.0,36,0.443708
1.0,206,0.448385
0.0,15,0.448759
0.0,63,0.450099
0.0,148,0.453179
0.0,57,0.454397
0.0,55,0.455579
0.0,4,0.455705
0.0,29,0.456383
1.0,138,0.459233
1.0,211,0.463585
0.0,27,0.464185
0.0,160,0.468638
0.0,17,0.469081
0.0,81,0.470836
0.0,182,0.474969
0.0,16,0.475354
0.0,68,0.476808
0.0,145,0.479842
0.0,113,0.482501
1.0,371,0.490321
1.0,139,0.493285
1.0,139,0.496188
1.0,199,0.501554
0.0,27,0.502387
1.0,186,0.506281
0.0,125,0.508912
1.0,197,0.513207
0.0,114,0.5161
0.0,33,0.516868
0.0,100,0.519195
0.0,74,0.520808
0.0,313,0.527541
0.0,14,0.527917
0.0,2,0.528001
1.0,233,0.532998
0.0,19,0.533811
0.0,8,0.534159
0.0,162,0.538228
1.0,186,0.542721
1.0,140,0.546014
0.0,22,0.546516
0.0,117,0.549232
1.0,108,0.551574
0.0,6,0.551744
0.0,107,0.554019
0.0,119,0.556563
0.0,211,0.560979
0.0,75,0.562565
0.0,72,0.564078
0.0,128,0.567406
0.0,33,0.568708
1.0,210,0.57334
0.0,131,0.576071
0.0,34,0.57682
1.0,168,0.580469
1.0,236,0.585799
1.0,243,0.590895
1.0,95,0.592908
1.0,405,0.602056
0.0,11,0.602617
1.0,112,0.605819
0.0,2,0.605955
0.0,15,0.60632
0.0,16,0.606704
1.0,134,0.609556
0.0,121,0.612137
0.0,21,0.612632
1.0,211,0.61732
1.0,368,0.625371
1.0,195,0.629499
0.0,56,0.630706
0.0,161,0.635003
0.0,45,0.636575
0.0,28,0.6372
0.0,188,0.641311
0.0,240,0.646361
0.0,39,0.64721
1.0,66,0.648941
0.0,61,0.650251
1.0,259,0.655586
0.0,39,0.656472
1.0,114,0.659046
0.0,27,0.659666
0.0,81,0.66139
1.0,140,0.664346
0.0,4,0.664473
0.0,11,0.664813
1.0,284,0.671744
0.0,236,0.676724
1.0,493,0.687301
1.0,73,0.689119
1.0,201,0.693432
0.0,211,0.697925
1.0,120,0.701405
1.0,204,0.705742
0.0,110,0.708141
0.0,176,0.711817
0.0,122,0.714882
1.0,189,0.718867
1.0,103,0.721049
0.0,46,0.72205
0.0,76,0.723712
0.0,36,0.724503
0.0,238,0.729386
0.0,72,0.730914
0.0,13,0.731223
0.0,282,0.738514
0.0,120,0.741166
1.0,145,0.744735
0.0,78,0.746408
0.0,200,0.751452
1.0,49,0.752719
1.0,281,0.759562
0.0,220,0.764852
0.0,57,0.766329
0.0,2,0.766484
0.0,24,0.767076
1.0,61,0.768766
0.0,2,0.768865
1.0,71,0.770443
0.0,155,0.773799
1.0,151,0.777026
0.0,73,0.778598
1.0,81,0.780355
0.0,29,0.781235
0.0,31,0.781951
1.0,91,0.783885
0.0,24,0.784426
0.0,19,0.784862
0.0,60,0.786305
1.0,99,0.788584
0.0,23,0.78911
0.0,91,0.7911
1.0,228,0.795926
1.0,117,0.798413
0.0,40,0.799289
1.0,91,0.802048
1.0,107,0.804327
0.0,30,0.805001
1.0,84,0.806988
1.0,83,0.808744
0.0,16,0.809119
0.0,225,0.813798
0.0,96,0.816273
1.0,83,0.818088
1.0,201,0.822337
0.0,41,0.823394
1.0,191,0.827411
0.0,24,0.827955
1.0,42,0.828875
1.0,485,0.840108
0.0,204,0.84444
0.0,13,0.844762
1.0,58,0.846039
0.0,4,0.846163
0.0,41,0.847064
1.0,45,0.848294
0.0,242,0.85335
1.0,41,0.85425
0.0,68,0.855708
1.0,93,0.857736
1.0,139,0.860681
1.0,130,0.86348
0.0,37,0.864295
0.0,193,0.86933
1.0,261,0.874768
0.0,33,0.875512
1.0,131,0.878259
1.0,49,0.879319
1.0,76,0.881052
0.0,2,0.881214
1.0,112,0.883627
0.0,20,0.884086
1.0,156,0.887342
0.0,30,0.88802
1.0,96,0.890057
1.0,227,0.894992
0.0,58,0.896253
1.0,34,0.897019
1.0,109,0.899426
1.0,243,0.905285
0.0,246,0.910465
1.0,245,0.915898
1.0,62,0.917258
1.0,23,0.917792
1.0,133,0.920608
1.0,41,0.921897
0.0,78,0.923614
0.0,9,0.923845
1.0,65,0.925242
0.0,35,0.92619
1.0,51,0.927294
1.0,169,0.930793
1.0,359,0.939356
1.0,263,0.944872
1.0,87,0.946722
0.0,13,0.947039
0.0,59,0.948744
0.0,231,0.953601
0.0,58,0.954864
0.0,50,0.955975
1.0,76,0.957593
1.0,292,0.963795
1.0,32,0.964519
1.0,202,0.969821
1.0,157,0.973418
0.0,86,0.975316
1.0,43,0.976271
1.0,152,0.979595
0.0,17,0.980003
0.0,75,0.981944
1.0,36,0.98277
1.0,166,0.987292
1.0,83,0.989408
1.0,74,0.991267
0.0,33,0.992176
1.0,59,0.993569
0.0,6,0.993741
1.0,32,0.994831
1.0,33,0.995602
0.0,29,0.996266
1.0,32,0.996996
0.0,4,0.997122
1.0,30,0.997974
0.0,102,1.00053
0.0,4,1.000696
0.0,12,1.001154
1.0,24,1.001829
1.0,178,1.005821
0.0,31,1.006546
0.0,48,1.007618
1.0,187,1.011915
1.0,30,1.012666
1.0,296,1.01918
1.0,59,1.020463
0.0,22,1.020969
0.0,14,1.021304
1.0,119,1.023904
1.0,28,1.024538
0.0,35,1.025312
1.0,61,1.026625
0.0,31,1.027316
