episodes,steps,total reward
113,10000,7.0
219,20000,27.0
314,30000,40.0
489,40000,103.0
819,50000,220.0
1147,60000,228.0
1490,70000,236.0
1816,80000,251.0
2156,90000,246.0
2490,100000,253.0
