episodes,steps,total reward
108,10000,14.0
194,20000,17.0
300,30000,33.0
402,40000,45.0
648,50000,184.0
1040,60000,309.0
1436,70000,316.0
1872,80000,346.0
2287,90000,341.0
2709,100000,354.0
