episodes,steps,total reward
135,10000,11.0
225,20000,21.0
304,30000,33.0
413,40000,45.0
663,50000,184.0
1042,60000,300.0
1447,70000,317.0
1866,80000,341.0
2296,90000,337.0
2742,100000,328.0
