episodes,steps,total reward
111,10000,10.0
197,20000,23.0
275,30000,27.0
387,40000,48.0
644,50000,198.0
1041,60000,315.0
1460,70000,330.0
1857,80000,317.0
2285,90000,346.0
2706,100000,348.0
