# {"t_start": 1662807792.105109, "env_id": "Office-single-v1"} 
r,l,t
0.0,18,0.00088
0.0,18,0.001357
0.0,36,0.002242
0.0,12,0.002543
0.0,47,0.003572
0.0,15,0.003925
0.0,39,0.004949
0.0,13,0.00528
0.0,48,0.006319
0.0,94,0.00888
0.0,28,0.009529
0.0,56,0.010737
0.0,37,0.011534
0.0,19,0.01197
0.0,43,0.012889
0.0,38,0.014057
0.0,87,0.017178
0.0,47,0.018306
0.0,24,0.018914
0.0,70,0.020518
0.0,81,0.022317
0.0,46,0.024067
0.0,95,0.028542
0.0,66,0.031106
0.0,19,0.0319
0.0,86,0.034105
0.0,47,0.035223
0.0,69,0.036755
0.0,59,0.038114
0.0,118,0.040867
0.0,196,0.04512
0.0,70,0.046778
0.0,80,0.048766
0.0,64,0.050363
0.0,65,0.052218
0.0,90,0.054592
0.0,86,0.056866
0.0,181,0.061179
0.0,13,0.061523
0.0,128,0.064597
0.0,140,0.06764
0.0,113,0.070132
0.0,250,0.075476
0.0,44,0.076457
0.0,62,0.077798
0.0,20,0.078272
0.0,167,0.082625
0.0,89,0.084978
0.0,10,0.085265
0.0,283,0.091348
0.0,125,0.094074
0.0,37,0.095089
0.0,89,0.097338
0.0,151,0.100567
0.0,17,0.100978
0.0,27,0.101588
0.0,45,0.102619
0.0,202,0.107133
0.0,25,0.107735
0.0,142,0.110766
0.0,191,0.115486
0.0,196,0.120456
0.0,62,0.121839
0.0,181,0.125729
0.0,8,0.125953
0.0,23,0.12648
0.0,10,0.126733
0.0,15,0.127091
0.0,40,0.128012
0.0,37,0.128842
0.0,252,0.134631
0.0,168,0.138363
0.0,151,0.141648
0.0,24,0.142213
0.0,35,0.142997
0.0,60,0.14429
0.0,28,0.14492
0.0,201,0.150064
0.0,16,0.15049
0.0,74,0.152095
1.0,248,0.157438
0.0,25,0.158024
0.0,13,0.158343
0.0,206,0.163008
1.0,130,0.165882
0.0,15,0.166264
0.0,27,0.166886
0.0,241,0.17205
0.0,29,0.172726
