episodes,steps,total reward
114,10000,5.0
197,20000,28.0
281,30000,42.0
472,40000,107.0
783,50000,217.0
1121,60000,230.0
1465,70000,242.0
1812,80000,254.0
2176,90000,239.0
2524,100000,246.0
