# {"t_start": 1662807482.295497, "env_id": "Office-single-v0"} 
r,l,t
0.0,4,0.000545
0.0,73,0.002179
0.0,24,0.002771
0.0,14,0.003122
0.0,41,0.004032
0.0,17,0.004444
0.0,32,0.005166
0.0,10,0.005524
0.0,66,0.007052
0.0,7,0.007256
0.0,9,0.007495
0.0,28,0.008136
0.0,33,0.0089
0.0,135,0.012077
0.0,77,0.013786
0.0,22,0.014294
0.0,45,0.015273
0.0,33,0.016017
0.0,42,0.016937
0.0,66,0.018444
0.0,26,0.019035
0.0,28,0.019669
0.0,66,0.021515
0.0,15,0.021898
0.0,70,0.023445
0.0,80,0.02519
0.0,26,0.025789
0.0,57,0.027108
0.0,59,0.028503
0.0,60,0.030689
0.0,42,0.03171
0.0,24,0.032256
0.0,106,0.034582
0.0,20,0.035091
0.0,75,0.036746
0.0,59,0.038033
0.0,110,0.040515
0.0,171,0.0446
0.0,98,0.047076
0.0,27,0.047748
0.0,11,0.048046
0.0,55,0.049455
0.0,10,0.049755
0.0,39,0.050695
0.0,89,0.053367
0.0,60,0.055888
0.0,66,0.057849
0.0,87,0.060168
0.0,19,0.060705
0.0,94,0.063655
0.0,28,0.065144
0.0,50,0.06737
0.0,13,0.067924
0.0,90,0.071216
0.0,7,0.071462
0.0,29,0.072154
0.0,26,0.072779
0.0,94,0.074858
0.0,73,0.076666
0.0,89,0.07869
0.0,90,0.080709
0.0,9,0.080954
0.0,122,0.083659
0.0,64,0.085262
0.0,56,0.086562
0.0,32,0.087384
0.0,135,0.090381
0.0,6,0.090569
0.0,108,0.092893
0.0,19,0.093344
0.0,79,0.095127
0.0,11,0.095761
0.0,34,0.096971
0.0,255,0.10265
0.0,154,0.106013
0.0,8,0.106243
0.0,53,0.107446
1.0,119,0.110361
0.0,6,0.110553
0.0,47,0.111596
0.0,78,0.113343
0.0,4,0.11348
0.0,326,0.120395
0.0,8,0.120632
0.0,63,0.122028
1.0,221,0.12683
1.0,166,0.131429
0.0,130,0.134357
0.0,62,0.136242
0.0,16,0.136659
0.0,179,0.140591
0.0,55,0.141817
0.0,78,0.143799
0.0,15,0.144191
0.0,108,0.146613
1.0,137,0.149583
0.0,153,0.152987
1.0,247,0.158403
0.0,80,0.160222
0.0,6,0.160408
0.0,17,0.160828
0.0,17,0.16125
1.0,292,0.168382
0.0,312,0.175291
0.0,29,0.175981
0.0,218,0.180978
0.0,115,0.183557
0.0,91,0.185607
1.0,214,0.190228
0.0,145,0.19343
0.0,21,0.194038
0.0,9,0.194298
1.0,276,0.200842
0.0,102,0.20314
0.0,89,0.205202
1.0,209,0.210296
1.0,155,0.214291
1.0,268,0.220411
0.0,97,0.222566
0.0,33,0.223361
0.0,181,0.228593
0.0,262,0.235464
0.0,96,0.237816
0.0,95,0.239933
0.0,165,0.244179
0.0,242,0.249813
