episodes,steps,total reward
111,10000,8.0
218,20000,25.0
314,30000,40.0
477,40000,87.0
803,50000,222.0
1133,60000,231.0
1480,70000,239.0
1839,80000,238.0
2193,90000,236.0
2531,100000,251.0
