# {"t_start": 1662808026.938503, "env_id": "Office-single-v0"} 
r,l,t
0.0,21,0.000895
0.0,27,0.001598
0.0,34,0.00242
0.0,33,0.003238
0.0,41,0.00423
0.0,9,0.004481
0.0,9,0.004734
0.0,37,0.005648
0.0,22,0.006188
0.0,11,0.006479
0.0,82,0.008617
0.0,19,0.009122
0.0,35,0.010137
0.0,53,0.011434
0.0,65,0.013015
0.0,55,0.014513
0.0,24,0.015109
0.0,66,0.016632
0.0,16,0.017046
0.0,24,0.017649
0.0,146,0.020992
0.0,22,0.02154
0.0,48,0.02265
0.0,64,0.024153
0.0,38,0.025041
0.0,45,0.026079
0.0,17,0.026542
0.0,33,0.027352
0.0,36,0.028284
0.0,21,0.029132
0.0,44,0.030405
0.0,43,0.031457
0.0,68,0.03339
0.0,31,0.034324
0.0,69,0.036683
0.0,68,0.038787
0.0,69,0.040678
0.0,128,0.045225
0.0,40,0.046941
0.0,158,0.054059
0.0,47,0.055395
0.0,54,0.056891
0.0,17,0.057332
0.0,72,0.058989
0.0,105,0.061899
0.0,28,0.062969
0.0,52,0.064426
1.0,130,0.067468
0.0,48,0.068735
0.0,50,0.069954
0.0,77,0.071782
0.0,74,0.07351
0.0,72,0.075202
0.0,28,0.075909
0.0,8,0.076275
0.0,112,0.078882
0.0,39,0.079813
0.0,48,0.080942
0.0,129,0.083921
0.0,89,0.086161
0.0,133,0.089199
0.0,77,0.090987
0.0,46,0.092073
0.0,41,0.093064
0.0,151,0.097576
0.0,38,0.09853
0.0,17,0.098974
0.0,124,0.101818
0.0,519,0.114
0.0,214,0.119891
0.0,69,0.121536
0.0,202,0.126111
0.0,23,0.12672
0.0,128,0.13099
0.0,13,0.131366
0.0,136,0.134495
0.0,110,0.137254
0.0,6,0.137454
0.0,18,0.137916
0.0,221,0.143174
0.0,40,0.144163
0.0,28,0.14486
0.0,323,0.152406
0.0,14,0.152805
0.0,138,0.155953
1.0,157,0.159515
0.0,226,0.165698
0.0,67,0.167287
1.0,55,0.168592
0.0,13,0.168936
1.0,238,0.17438
0.0,87,0.176682
0.0,129,0.179768
0.0,15,0.180167
0.0,73,0.181862
1.0,239,0.187409
0.0,4,0.187558
1.0,221,0.192662
0.0,226,0.198957
0.0,137,0.202178
0.0,170,0.206057
1.0,235,0.212894
0.0,62,0.215609
1.0,57,0.217192
1.0,283,0.224037
1.0,435,0.234872
0.0,54,0.236162
1.0,209,0.240937
0.0,161,0.244838
0.0,83,0.246734
1.0,167,0.250501
0.0,9,0.250762
0.0,64,0.252329
0.0,97,0.254581
0.0,14,0.254939
0.0,30,0.255645
0.0,81,0.257827
1.0,189,0.26278
0.0,252,0.268528
1.0,305,0.275473
0.0,153,0.279159
0.0,77,0.280961
0.0,33,0.281732
0.0,4,0.281864
0.0,53,0.283071
0.0,221,0.288006
1.0,183,0.292103
1.0,250,0.298999
0.0,125,0.301938
0.0,185,0.306309
0.0,12,0.306644
0.0,34,0.307471
0.0,222,0.313372
0.0,178,0.318357
0.0,77,0.320517
1.0,154,0.324397
0.0,10,0.324676
1.0,157,0.329059
0.0,60,0.330953
1.0,212,0.335722
0.0,157,0.339241
0.0,12,0.339562
0.0,61,0.34099
1.0,244,0.346697
0.0,43,0.347713
1.0,219,0.353659
0.0,6,0.353867
0.0,16,0.354265
1.0,215,0.358999
0.0,64,0.360514
0.0,139,0.364885
0.0,19,0.365385
0.0,29,0.366071
1.0,354,0.373968
0.0,7,0.37418
0.0,24,0.374769
0.0,61,0.37634
0.0,80,0.378214
0.0,138,0.381394
1.0,150,0.38485
0.0,24,0.385436
0.0,63,0.386855
1.0,253,0.392425
0.0,251,0.399386
0.0,54,0.400659
0.0,97,0.402837
0.0,142,0.406036
0.0,63,0.407476
0.0,186,0.41185
0.0,56,0.413128
0.0,111,0.41559
0.0,185,0.419875
0.0,72,0.421515
1.0,65,0.422987
1.0,180,0.427033
1.0,372,0.436549
0.0,202,0.441097
0.0,51,0.442276
0.0,23,0.44311
1.0,326,0.45026
0.0,11,0.450552
0.0,18,0.451054
0.0,239,0.456286
0.0,24,0.456852
0.0,11,0.457136
1.0,100,0.459346
0.0,74,0.461096
0.0,56,0.463047
0.0,36,0.463915
0.0,56,0.465191
1.0,274,0.471245
1.0,244,0.477099
0.0,18,0.477564
0.0,6,0.477743
1.0,112,0.480268
0.0,34,0.481065
0.0,23,0.481618
0.0,10,0.481885
0.0,9,0.482128
1.0,187,0.48633
0.0,127,0.489181
0.0,88,0.491195
0.0,88,0.493272
1.0,262,0.500358
0.0,218,0.505231
1.0,119,0.50791
0.0,45,0.508954
0.0,82,0.511062
1.0,155,0.514526
0.0,80,0.516333
0.0,8,0.516555
1.0,249,0.522085
0.0,194,0.526488
0.0,49,0.527687
0.0,196,0.533211
1.0,147,0.536764
1.0,259,0.543009
0.0,281,0.550138
0.0,4,0.550331
1.0,181,0.555125
0.0,16,0.555689
0.0,45,0.556747
0.0,43,0.557746
0.0,16,0.55815
1.0,220,0.563952
0.0,113,0.566583
1.0,185,0.570822
0.0,39,0.57176
1.0,202,0.576725
0.0,39,0.57768
0.0,9,0.577933
0.0,124,0.580803
1.0,185,0.585122
0.0,35,0.585993
0.0,8,0.586243
0.0,118,0.588865
1.0,379,0.598172
0.0,109,0.600679
0.0,83,0.60256
1.0,247,0.608046
0.0,136,0.611363
0.0,147,0.614684
0.0,60,0.616052
1.0,102,0.618362
0.0,39,0.619265
0.0,88,0.621215
0.0,51,0.622368
0.0,140,0.625428
0.0,50,0.626696
0.0,203,0.632282
0.0,40,0.633361
1.0,132,0.636583
1.0,226,0.641634
0.0,20,0.642124
0.0,8,0.642343
1.0,111,0.645058
1.0,174,0.64894
0.0,49,0.650276
1.0,167,0.654155
0.0,88,0.656142
0.0,11,0.65643
0.0,107,0.658817
0.0,23,0.659363
1.0,138,0.663468
0.0,54,0.66473
0.0,134,0.667741
1.0,148,0.671025
1.0,74,0.672692
0.0,133,0.675644
1.0,194,0.680211
1.0,480,0.690971
0.0,15,0.691364
0.0,40,0.692286
0.0,14,0.692636
0.0,248,0.699094
0.0,96,0.70127
1.0,205,0.705751
0.0,16,0.706138
0.0,188,0.710479
1.0,183,0.714519
0.0,48,0.715613
1.0,129,0.718498
1.0,121,0.721199
0.0,163,0.724787
0.0,31,0.725504
0.0,209,0.73098
0.0,14,0.731373
0.0,60,0.73275
0.0,78,0.734756
0.0,43,0.735744
0.0,48,0.736846
0.0,21,0.737356
1.0,253,0.743473
0.0,16,0.74388
1.0,178,0.747777
1.0,86,0.749746
0.0,244,0.755135
0.0,116,0.757673
0.0,39,0.758554
0.0,51,0.759693
1.0,162,0.763979
0.0,101,0.766241
0.0,54,0.767486
1.0,38,0.768991
0.0,69,0.772018
0.0,11,0.772561
0.0,37,0.773459
1.0,41,0.774444
0.0,37,0.775303
1.0,347,0.784376
1.0,121,0.787177
0.0,12,0.787492
1.0,362,0.796936
0.0,113,0.800105
1.0,136,0.803561
1.0,113,0.806648
0.0,36,0.807527
1.0,213,0.812565
0.0,35,0.81345
0.0,2,0.813537
0.0,167,0.817376
0.0,52,0.818631
1.0,259,0.824333
0.0,108,0.826762
0.0,146,0.831511
0.0,66,0.833181
0.0,10,0.833446
0.0,49,0.834554
0.0,46,0.835595
1.0,72,0.837177
1.0,291,0.844152
1.0,31,0.844909
0.0,5,0.845061
0.0,15,0.845429
0.0,19,0.845889
0.0,61,0.847261
0.0,15,0.847629
1.0,90,0.849631
1.0,116,0.852306
