episodes,steps,total reward
114,10000,9.0
207,20000,25.0
298,30000,39.0
472,40000,107.0
797,50000,226.0
1126,60000,235.0
1471,70000,233.0
1822,80000,246.0
2180,90000,232.0
2524,100000,249.0
