# {"t_start": 1662807368.0475678, "env_id": "Office-single-v1"} 
r,l,t
0.0,4,0.001046
0.0,20,0.001766
0.0,17,0.002209
0.0,33,0.002994
0.0,64,0.004464
0.0,29,0.005161
0.0,75,0.007162
0.0,21,0.007711
0.0,19,0.008194
0.0,36,0.009053
0.0,145,0.012379
0.0,68,0.013919
0.0,55,0.015445
0.0,43,0.016429
0.0,67,0.018054
0.0,33,0.01882
0.0,45,0.01984
0.0,82,0.021643
0.0,43,0.022712
0.0,44,0.023699
0.0,81,0.025498
0.0,149,0.028759
0.0,12,0.029065
0.0,156,0.032768
0.0,69,0.035173
0.0,108,0.037644
0.0,49,0.038769
0.0,115,0.041549
0.0,24,0.042139
0.0,76,0.043827
0.0,20,0.044305
0.0,84,0.046147
0.0,91,0.048504
0.0,165,0.053915
0.0,113,0.057709
0.0,100,0.060604
0.0,20,0.061145
0.0,55,0.063287
0.0,175,0.071247
0.0,16,0.07183
0.0,17,0.072319
0.0,72,0.073975
0.0,52,0.075225
0.0,131,0.078184
0.0,33,0.078971
0.0,473,0.090915
0.0,91,0.093003
0.0,95,0.09514
0.0,93,0.097264
0.0,183,0.10231
0.0,13,0.102698
0.0,14,0.103059
0.0,297,0.109628
0.0,88,0.111888
0.0,8,0.112138
0.0,22,0.112678
0.0,15,0.113064
0.0,168,0.117158
0.0,88,0.119224
0.0,32,0.120006
0.0,221,0.125013
0.0,183,0.129423
0.0,166,0.134161
0.0,134,0.137774
0.0,76,0.139536
0.0,45,0.140615
0.0,20,0.141107
0.0,293,0.148183
0.0,36,0.149083
0.0,13,0.14943
0.0,54,0.150742
0.0,85,0.152701
1.0,156,0.156451
0.0,30,0.157195
0.0,42,0.158183
0.0,172,0.162064
0.0,30,0.162789
0.0,55,0.164105
0.0,299,0.172043
1.0,179,0.176203
0.0,31,0.17698
0.0,43,0.178031
0.0,37,0.17893
0.0,16,0.179329
0.0,74,0.181299
0.0,26,0.181952
1.0,203,0.186721
0.0,37,0.18762
0.0,70,0.189263
0.0,44,0.19029
0.0,18,0.190735
1.0,202,0.195386
0.0,7,0.195596
0.0,78,0.197468
0.0,145,0.201785
0.0,31,0.202612
0.0,75,0.204327
0.0,157,0.207977
1.0,177,0.21204
1.0,372,0.221776
1.0,219,0.227501
0.0,129,0.230948
0.0,89,0.233317
0.0,31,0.235372
0.0,7,0.235621
0.0,85,0.237584
1.0,106,0.240037
0.0,21,0.240766
0.0,71,0.242614
0.0,7,0.242867
1.0,219,0.248201
0.0,219,0.253298
0.0,30,0.254052
0.0,14,0.254409
0.0,154,0.258314
0.0,71,0.25997
0.0,250,0.265726
0.0,10,0.266089
0.0,147,0.270021
0.0,22,0.270577
0.0,157,0.274099
0.0,103,0.276449
0.0,23,0.276988
0.0,181,0.281124
0.0,41,0.282089
0.0,69,0.283761
1.0,209,0.288415
0.0,13,0.288825
1.0,184,0.293223
0.0,21,0.293775
0.0,53,0.295029
0.0,109,0.297544
1.0,131,0.301288
0.0,27,0.301962
0.0,17,0.302381
0.0,31,0.303131
0.0,25,0.303733
0.0,215,0.308546
0.0,232,0.313763
0.0,77,0.315982
1.0,169,0.321028
1.0,162,0.325272
0.0,36,0.326241
1.0,107,0.328959
0.0,71,0.330582
0.0,154,0.335253
0.0,56,0.336779
1.0,196,0.34119
0.0,278,0.347388
0.0,78,0.349564
0.0,84,0.351505
1.0,181,0.355935
1.0,248,0.361489
0.0,6,0.361678
0.0,137,0.364742
0.0,168,0.369674
0.0,69,0.371259
0.0,37,0.37211
0.0,49,0.373287
0.0,43,0.374337
0.0,32,0.37509
1.0,118,0.37793
1.0,127,0.380799
1.0,158,0.385351
1.0,258,0.391725
0.0,251,0.397308
0.0,22,0.398021
0.0,103,0.401276
0.0,112,0.403858
0.0,21,0.404377
1.0,113,0.406915
0.0,46,0.407978
0.0,84,0.409852
0.0,333,0.417848
0.0,56,0.419141
0.0,8,0.419366
0.0,206,0.42404
1.0,130,0.426928
1.0,169,0.430672
1.0,172,0.435553
1.0,138,0.438613
0.0,31,0.439341
1.0,216,0.444023
0.0,52,0.445193
0.0,4,0.445324
1.0,194,0.449899
0.0,36,0.450847
0.0,40,0.451749
0.0,167,0.455493
0.0,105,0.45796
0.0,51,0.459153
0.0,174,0.462914
1.0,126,0.465787
0.0,10,0.466348
0.0,7,0.466783
1.0,265,0.472943
0.0,17,0.473379
1.0,187,0.477505
0.0,75,0.479652
0.0,12,0.479979
1.0,123,0.483283
1.0,141,0.486568
0.0,27,0.48722
0.0,76,0.489041
0.0,78,0.490954
0.0,55,0.492222
0.0,43,0.493221
0.0,233,0.498677
0.0,52,0.50038
0.0,42,0.501687
1.0,60,0.503088
0.0,15,0.503475
0.0,103,0.50585
0.0,11,0.506138
