episodes,steps,total reward
116,10000,13.0
205,20000,20.0
286,30000,31.0
386,40000,42.0
637,50000,189.0
1014,60000,309.0
1426,70000,334.0
1841,80000,336.0
2270,90000,349.0
2689,100000,341.0
