# {"t_start": 1662807784.613405, "env_id": "Office-single-v0"} 
r,l,t
0.0,9,0.000621
0.0,14,0.00102
0.0,52,0.002229
0.0,24,0.002815
0.0,66,0.004318
0.0,7,0.004523
0.0,14,0.004873
0.0,18,0.005358
0.0,74,0.007688
0.0,38,0.008732
0.0,50,0.009891
0.0,49,0.010976
0.0,36,0.011799
0.0,52,0.012996
0.0,138,0.016028
0.0,14,0.016377
0.0,51,0.017529
0.0,71,0.019092
0.0,61,0.020442
0.0,39,0.021501
0.0,94,0.02364
0.0,71,0.025264
0.0,64,0.026904
0.0,58,0.028204
0.0,86,0.030286
0.0,60,0.031698
0.0,105,0.033966
0.0,25,0.034577
0.0,57,0.035824
0.0,63,0.037189
0.0,47,0.038285
0.0,99,0.041168
0.0,90,0.044118
0.0,91,0.047743
0.0,36,0.049048
0.0,58,0.051055
0.0,16,0.051513
0.0,7,0.051715
0.0,84,0.053974
0.0,240,0.063921
0.0,87,0.06595
0.0,25,0.066557
0.0,44,0.067567
0.0,38,0.068477
0.0,90,0.070468
0.0,31,0.071465
0.0,12,0.071809
0.0,27,0.072471
0.0,69,0.074453
0.0,104,0.076968
0.0,57,0.078258
0.0,56,0.07951
0.0,165,0.083134
0.0,4,0.083272
0.0,99,0.085494
0.0,58,0.086801
0.0,24,0.087403
0.0,14,0.087873
0.0,17,0.088398
0.0,48,0.089473
0.0,45,0.090499
0.0,7,0.0907
1.0,205,0.095247
0.0,60,0.096803
0.0,138,0.099989
1.0,218,0.104886
0.0,43,0.105902
0.0,25,0.106788
1.0,200,0.111793
0.0,101,0.114041
0.0,24,0.114617
0.0,77,0.116327
1.0,170,0.120233
0.0,70,0.122194
0.0,8,0.122441
0.0,71,0.124019
0.0,46,0.125074
0.0,72,0.126942
0.0,140,0.13021
0.0,2,0.130422
0.0,25,0.131038
0.0,7,0.131247
0.0,20,0.131722
0.0,71,0.133328
1.0,476,0.14459
0.0,30,0.145342
0.0,203,0.149807
0.0,160,0.153352
0.0,148,0.156892
0.0,213,0.161529
0.0,234,0.166656
0.0,10,0.16693
1.0,161,0.170468
1.0,193,0.175782
0.0,36,0.176648
0.0,236,0.181811
0.0,91,0.183832
1.0,147,0.187022
1.0,218,0.192078
0.0,107,0.194472
0.0,6,0.19466
0.0,76,0.196414
0.0,44,0.197417
0.0,195,0.201797
0.0,20,0.20229
0.0,113,0.204818
0.0,137,0.208637
1.0,183,0.212702
1.0,146,0.21595
0.0,208,0.221634
0.0,46,0.22278
0.0,149,0.226546
1.0,155,0.230081
0.0,80,0.231889
1.0,192,0.236054
0.0,238,0.242481
0.0,228,0.24767
0.0,12,0.24798
0.0,13,0.248304
0.0,41,0.249206
0.0,21,0.249697
0.0,282,0.255936
0.0,159,0.259364
0.0,74,0.260974
0.0,18,0.261404
0.0,148,0.264717
0.0,52,0.265871
0.0,4,0.266003
1.0,236,0.271009
0.0,14,0.271356
0.0,168,0.275955
0.0,5,0.27615
0.0,134,0.279135
0.0,55,0.280325
0.0,180,0.284621
0.0,18,0.285148
1.0,178,0.289461
0.0,9,0.289777
1.0,277,0.295723
0.0,125,0.298546
1.0,221,0.303391
0.0,2,0.303488
0.0,44,0.304464
0.0,99,0.30676
1.0,130,0.310605
0.0,56,0.312136
0.0,91,0.314368
0.0,128,0.317864
0.0,18,0.318679
0.0,4,0.318829
0.0,247,0.324556
0.0,141,0.327647
0.0,161,0.331212
1.0,278,0.337142
1.0,195,0.342638
0.0,44,0.343819
0.0,12,0.344126
0.0,107,0.346438
0.0,20,0.346907
0.0,63,0.348298
0.0,47,0.349323
0.0,131,0.352154
0.0,2,0.352241
0.0,66,0.353754
0.0,19,0.354198
1.0,171,0.358133
1.0,95,0.360228
1.0,394,0.36879
1.0,271,0.375398
0.0,44,0.376425
0.0,54,0.377626
0.0,167,0.381195
0.0,101,0.38336
1.0,155,0.386625
0.0,155,0.390378
0.0,223,0.395357
0.0,30,0.396133
0.0,173,0.399791
1.0,257,0.405437
0.0,12,0.40575
0.0,109,0.408885
0.0,94,0.411288
0.0,89,0.413467
1.0,177,0.417246
0.0,4,0.417379
0.0,81,0.419125
1.0,245,0.424763
0.0,12,0.425085
1.0,235,0.430189
0.0,180,0.434035
0.0,35,0.434828
1.0,183,0.438794
0.0,109,0.442287
1.0,256,0.447799
0.0,47,0.448883
0.0,12,0.449184
0.0,7,0.449376
0.0,47,0.450408
0.0,23,0.450933
0.0,292,0.457488
1.0,144,0.460564
0.0,115,0.463081
0.0,245,0.468233
1.0,240,0.47371
0.0,25,0.474486
0.0,173,0.478694
1.0,405,0.487244
1.0,460,0.497533
1.0,113,0.499938
1.0,114,0.502421
0.0,43,0.503364
0.0,28,0.503987
1.0,180,0.508803
0.0,2,0.508931
0.0,181,0.512863
1.0,161,0.516408
0.0,267,0.522738
0.0,11,0.523103
0.0,177,0.527901
0.0,13,0.528346
0.0,82,0.530545
1.0,197,0.535398
0.0,60,0.53672
0.0,98,0.539108
0.0,4,0.53926
0.0,30,0.540242
0.0,86,0.542596
1.0,290,0.548937
0.0,73,0.55056
1.0,155,0.553942
0.0,250,0.559485
1.0,236,0.56451
0.0,35,0.565284
0.0,33,0.56602
0.0,45,0.567021
0.0,110,0.569398
0.0,26,0.569983
1.0,145,0.573183
0.0,16,0.574003
0.0,35,0.575203
0.0,72,0.577037
1.0,175,0.580757
1.0,93,0.58277
1.0,78,0.58445
1.0,172,0.588515
0.0,288,0.594669
1.0,131,0.59762
0.0,30,0.598298
0.0,237,0.603358
1.0,258,0.610065
1.0,140,0.613085
0.0,202,0.617376
1.0,148,0.620517
1.0,114,0.62324
0.0,104,0.625458
1.0,188,0.62941
1.0,118,0.632317
1.0,150,0.635545
0.0,71,0.637085
0.0,31,0.63777
0.0,336,0.645571
1.0,245,0.650792
0.0,15,0.651156
0.0,43,0.652097
0.0,54,0.653272
0.0,68,0.655018
1.0,127,0.657776
1.0,92,0.659764
0.0,2,0.659846
1.0,441,0.669182
0.0,21,0.669671
0.0,79,0.671356
0.0,34,0.672181
0.0,38,0.67346
0.0,60,0.675145
1.0,130,0.677932
0.0,208,0.68233
0.0,84,0.684117
0.0,182,0.688273
0.0,43,0.689227
0.0,5,0.689376
1.0,124,0.692079
1.0,130,0.695001
0.0,13,0.695317
1.0,110,0.697982
0.0,33,0.699128
1.0,242,0.704521
1.0,448,0.715019
1.0,59,0.716392
0.0,41,0.717318
1.0,147,0.720529
0.0,4,0.720661
0.0,155,0.724251
1.0,162,0.727814
1.0,161,0.731308
0.0,44,0.732277
0.0,86,0.734112
0.0,141,0.737115
0.0,18,0.737543
0.0,262,0.744592
0.0,136,0.74759
1.0,90,0.74974
1.0,310,0.756819
0.0,37,0.757798
0.0,2,0.757891
1.0,45,0.758907
1.0,168,0.763034
0.0,19,0.763538
1.0,100,0.766057
0.0,42,0.767267
0.0,26,0.767857
0.0,52,0.768978
0.0,59,0.770256
1.0,168,0.774929
0.0,261,0.780851
0.0,26,0.781474
0.0,58,0.782765
1.0,201,0.787162
0.0,8,0.787377
0.0,39,0.788501
1.0,119,0.791055
0.0,74,0.792658
0.0,63,0.794011
1.0,34,0.794764
0.0,131,0.797567
0.0,14,0.79791
0.0,135,0.800738
0.0,34,0.801476
0.0,109,0.803782
1.0,78,0.805545
0.0,201,0.810618
1.0,135,0.813541
0.0,11,0.81382
0.0,24,0.814361
1.0,85,0.816201
1.0,51,0.81738
0.0,6,0.817552
1.0,217,0.822652
0.0,158,0.826029
0.0,20,0.826488
0.0,185,0.830469
0.0,8,0.830686
0.0,36,0.831479
0.0,152,0.83469
0.0,4,0.834815
0.0,132,0.837769
1.0,85,0.839799
1.0,103,0.843451
1.0,250,0.848885
0.0,37,0.84986
0.0,109,0.852301
1.0,154,0.855827
1.0,284,0.861759
0.0,6,0.861933
1.0,96,0.864027
1.0,205,0.868354
1.0,130,0.871116
0.0,79,0.872943
0.0,62,0.875201
0.0,59,0.876525
0.0,25,0.877095
0.0,43,0.878045
0.0,66,0.879484
1.0,29,0.880141
1.0,158,0.883502
1.0,146,0.886674
0.0,57,0.888229
1.0,59,0.889596
0.0,4,0.88973
1.0,203,0.894325
1.0,53,0.89552
0.0,57,0.896823
1.0,57,0.898079
0.0,50,0.899163
1.0,119,0.901887
1.0,312,0.909519
0.0,18,0.910061
1.0,39,0.911005
1.0,338,0.918434
1.0,35,0.919236
1.0,77,0.920882
0.0,189,0.925221
0.0,14,0.925573
0.0,229,0.930537
1.0,30,0.9313
0.0,40,0.932179
1.0,65,0.933749
0.0,135,0.936681
0.0,30,0.937376
1.0,29,0.93803
1.0,50,0.939203
1.0,123,0.942821
0.0,38,0.943692
0.0,72,0.945253
1.0,41,0.94616
0.0,84,0.94796
1.0,28,0.948592
0.0,128,0.951634
0.0,96,0.953687
1.0,85,0.9558
1.0,83,0.957614
1.0,48,0.95868
0.0,34,0.959437
1.0,49,0.960502
0.0,5,0.960645
1.0,30,0.961325
0.0,204,0.965747
0.0,24,0.966301
1.0,76,0.967948
0.0,80,0.969793
1.0,35,0.970602
0.0,42,0.971619
1.0,147,0.975712
1.0,95,0.977837
1.0,35,0.978646
1.0,27,0.979452
1.0,39,0.980321
0.0,7,0.980512
0.0,10,0.98076
0.0,71,0.982292
1.0,31,0.982985
1.0,41,0.983892
1.0,56,0.98508
0.0,4,0.985203
0.0,98,0.987294
0.0,332,0.996021
1.0,25,0.996754
0.0,59,0.998185
0.0,8,0.998439
1.0,39,0.999466
1.0,27,1.000092
0.0,60,1.001766
1.0,29,1.002438
1.0,63,1.003813
1.0,36,1.004884
1.0,138,1.008455
0.0,23,1.009125
0.0,12,1.009532
1.0,32,1.010252
0.0,263,1.015884
0.0,41,1.016829
0.0,10,1.017087
1.0,39,1.017976
1.0,149,1.021446
1.0,58,1.022783
0.0,8,1.023
0.0,10,1.023256
0.0,17,1.02366
1.0,27,1.024283
0.0,10,1.024537
0.0,19,1.02499
1.0,78,1.026685
1.0,27,1.027295
1.0,25,1.02786
1.0,43,1.028809
1.0,26,1.029472
1.0,36,1.030484
1.0,123,1.033162
1.0,45,1.034157
0.0,140,1.03713
1.0,26,1.037725
1.0,36,1.038601
0.0,4,1.038727
1.0,98,1.041578
1.0,131,1.044879
1.0,25,1.045467
1.0,28,1.046099
0.0,132,1.048893
1.0,23,1.049429
1.0,32,1.050411
1.0,25,1.051137
1.0,40,1.052045
1.0,27,1.052693
0.0,103,1.055169
1.0,54,1.056365
0.0,33,1.057086
1.0,24,1.057632
1.0,43,1.058568
1.0,28,1.059195
0.0,35,1.059957
0.0,21,1.060514
1.0,23,1.061043
0.0,21,1.061518
1.0,23,1.062039
1.0,34,1.062816
0.0,17,1.063206
1.0,27,1.063804
