episodes,steps,total reward
120,10000,7.0
215,20000,27.0
316,30000,38.0
488,40000,104.0
797,50000,213.0
1142,60000,231.0
1484,70000,246.0
1840,80000,241.0
2191,90000,248.0
2533,100000,249.0
