episodes,steps,total reward
122,10000,5.0
208,20000,27.0
304,30000,41.0
461,40000,98.0
788,50000,223.0
1129,60000,232.0
1483,70000,237.0
1828,80000,244.0
2191,90000,236.0
2544,100000,246.0
