episodes,steps,total reward
119,10000,10.0
215,20000,19.0
299,30000,35.0
414,40000,46.0
666,50000,189.0
1071,60000,314.0
1448,70000,302.0
1878,80000,333.0
2302,90000,344.0
2738,100000,337.0
