episodes,steps,total reward
118,10000,11.0
197,20000,22.0
281,30000,29.0
381,40000,44.0
613,50000,168.0
1005,60000,298.0
1416,70000,335.0
1835,80000,341.0
2274,90000,335.0
2706,100000,338.0
