episodes,steps,total reward
105,10000,9.0
205,20000,25.0
306,30000,39.0
495,40000,119.0
808,50000,223.0
1133,60000,230.0
1477,70000,241.0
1827,80000,235.0
2176,90000,242.0
2515,100000,242.0
