episodes,steps,total reward
114,10000,7.0
211,20000,26.0
312,30000,39.0
481,40000,107.0
797,50000,216.0
1141,60000,241.0
1488,70000,235.0
1829,80000,233.0
2172,90000,241.0
2528,100000,253.0
