episodes,steps,total reward
111,10000,12.0
210,20000,20.0
296,30000,28.0
401,40000,47.0
646,50000,189.0
1024,60000,294.0
1420,70000,324.0
1847,80000,332.0
2273,90000,334.0
2698,100000,341.0
