# {"t_start": 1662807314.969742, "env_id": "Office-single-v0"} 
r,l,t
0.0,20,0.000885
0.0,4,0.001038
0.0,59,0.002659
0.0,26,0.003304
0.0,32,0.004058
0.0,15,0.004443
0.0,38,0.005336
0.0,33,0.00612
0.0,14,0.0067
0.0,183,0.011199
0.0,37,0.012368
0.0,47,0.014093
0.0,100,0.016342
0.0,29,0.017023
0.0,68,0.018561
0.0,19,0.019022
0.0,42,0.019977
0.0,85,0.021973
0.0,81,0.023845
0.0,32,0.024611
0.0,31,0.025357
0.0,97,0.027811
0.0,64,0.029309
0.0,40,0.030505
0.0,57,0.031875
0.0,46,0.032958
0.0,46,0.034014
0.0,106,0.036768
0.0,57,0.038877
0.0,79,0.041512
0.0,77,0.043391
0.0,69,0.045497
0.0,22,0.046724
0.0,44,0.048655
0.0,62,0.05608
0.0,32,0.057186
0.0,57,0.058542
0.0,40,0.059475
0.0,77,0.06141
0.0,48,0.062542
0.0,2,0.062662
0.0,20,0.063254
0.0,76,0.064986
0.0,51,0.066166
0.0,60,0.067554
0.0,93,0.069684
0.0,89,0.071702
0.0,44,0.072727
0.0,14,0.073076
0.0,153,0.076526
0.0,53,0.077863
0.0,83,0.08051
0.0,42,0.081836
0.0,136,0.084983
0.0,57,0.086311
0.0,42,0.087296
0.0,234,0.092694
0.0,4,0.09286
0.0,131,0.096118
0.0,91,0.098392
0.0,60,0.099797
0.0,6,0.099982
0.0,53,0.101196
0.0,209,0.106088
0.0,86,0.108045
0.0,82,0.109941
0.0,36,0.110818
0.0,144,0.115124
0.0,205,0.120204
0.0,24,0.120821
1.0,179,0.124962
0.0,44,0.125983
1.0,165,0.130153
0.0,176,0.13414
0.0,30,0.134852
1.0,131,0.138097
0.0,165,0.141886
0.0,84,0.143919
1.0,148,0.148623
0.0,95,0.150829
0.0,137,0.15394
0.0,77,0.155691
0.0,133,0.15872
0.0,7,0.158924
1.0,190,0.163599
0.0,148,0.166931
0.0,29,0.167632
1.0,311,0.175016
0.0,24,0.175635
0.0,160,0.180065
0.0,17,0.180945
0.0,162,0.184633
1.0,86,0.186614
0.0,67,0.188136
1.0,211,0.193425
0.0,120,0.19644
0.0,26,0.197138
0.0,44,0.198181
0.0,38,0.199082
0.0,40,0.200028
0.0,144,0.203343
0.0,105,0.205737
0.0,130,0.2092
0.0,521,0.223298
1.0,161,0.229051
1.0,266,0.240287
1.0,201,0.249189
0.0,35,0.250615
0.0,252,0.258098
1.0,362,0.268119
0.0,7,0.268719
0.0,85,0.272864
0.0,7,0.273226
0.0,25,0.274269
0.0,50,0.276215
0.0,106,0.279374
0.0,47,0.280753
0.0,12,0.281078
0.0,23,0.281623
0.0,100,0.283845
0.0,58,0.285132
0.0,185,0.289251
0.0,136,0.292277
1.0,194,0.29695
1.0,169,0.300887
0.0,20,0.301384
0.0,5,0.301556
0.0,12,0.301914
0.0,34,0.302688
0.0,41,0.303638
0.0,61,0.305001
0.0,51,0.306138
0.0,121,0.308915
0.0,96,0.311258
0.0,155,0.315691
0.0,7,0.315938
0.0,74,0.317792
1.0,106,0.320201
0.0,122,0.323188
0.0,53,0.324397
0.0,108,0.327045
1.0,192,0.332754
0.0,8,0.333161
0.0,58,0.334865
0.0,71,0.336824
0.0,78,0.338944
0.0,168,0.343518
0.0,18,0.343989
0.0,155,0.34826
1.0,194,0.352738
0.0,9,0.352998
0.0,251,0.358709
1.0,295,0.365804
0.0,90,0.367827
0.0,72,0.369534
0.0,57,0.370821
0.0,30,0.371527
0.0,97,0.373688
0.0,228,0.378954
0.0,101,0.38229
0.0,73,0.383937
1.0,127,0.386714
0.0,15,0.387088
0.0,73,0.388705
0.0,32,0.38945
1.0,271,0.395749
0.0,199,0.400315
0.0,18,0.400766
0.0,43,0.402052
0.0,102,0.404446
0.0,15,0.404965
1.0,245,0.410256
0.0,85,0.412473
0.0,27,0.413817
0.0,67,0.415826
0.0,2,0.41593
1.0,186,0.42006
1.0,74,0.421708
0.0,12,0.422013
0.0,36,0.422829
0.0,174,0.426706
0.0,313,0.433886
0.0,22,0.434423
1.0,237,0.439605
0.0,165,0.443179
1.0,153,0.447624
0.0,38,0.448558
1.0,166,0.452405
0.0,135,0.45571
0.0,165,0.459401
0.0,76,0.461397
1.0,189,0.466459
0.0,48,0.467607
0.0,58,0.46897
0.0,82,0.4708
0.0,123,0.473548
0.0,48,0.474648
1.0,255,0.481594
0.0,117,0.484326
1.0,133,0.48733
0.0,4,0.487474
0.0,42,0.488458
0.0,111,0.490968
1.0,179,0.495217
0.0,81,0.497262
0.0,13,0.497595
1.0,141,0.500737
0.0,19,0.501197
1.0,376,0.50991
0.0,40,0.510939
1.0,433,0.521917
0.0,27,0.522566
0.0,139,0.525639
0.0,76,0.527547
0.0,17,0.527974
0.0,64,0.529498
0.0,60,0.5309
0.0,11,0.531184
0.0,44,0.532176
1.0,517,0.543578
0.0,66,0.545179
0.0,53,0.547303
1.0,149,0.550743
0.0,2,0.550842
1.0,140,0.554165
0.0,44,0.555172
0.0,204,0.559647
1.0,266,0.566094
1.0,119,0.568788
0.0,129,0.571735
0.0,18,0.572182
0.0,168,0.57583
1.0,108,0.578239
0.0,23,0.57879
0.0,97,0.582235
0.0,47,0.583574
1.0,103,0.586138
0.0,191,0.59096
0.0,43,0.591951
0.0,184,0.596306
0.0,76,0.598015
0.0,99,0.60063
1.0,279,0.606972
0.0,14,0.607328
0.0,56,0.608566
1.0,143,0.611731
1.0,161,0.616805
0.0,52,0.618002
0.0,124,0.62076
0.0,78,0.622552
0.0,243,0.628236
1.0,243,0.633944
0.0,31,0.634682
0.0,40,0.63561
1.0,198,0.64023
0.0,165,0.643977
0.0,24,0.644548
0.0,50,0.646066
0.0,69,0.648248
1.0,282,0.654519
0.0,13,0.654874
1.0,163,0.658511
0.0,236,0.664158
0.0,12,0.664477
1.0,209,0.669253
1.0,106,0.671612
0.0,106,0.673927
1.0,313,0.682159
0.0,40,0.683112
1.0,108,0.685483
0.0,2,0.685568
0.0,34,0.686381
1.0,160,0.689851
0.0,51,0.691032
0.0,11,0.691309
1.0,429,0.700967
0.0,56,0.702274
1.0,64,0.703711
0.0,162,0.707223
1.0,291,0.715083
0.0,37,0.715965
0.0,9,0.716203
1.0,133,0.719103
1.0,152,0.7224
0.0,13,0.722718
0.0,129,0.725689
0.0,2,0.725775
1.0,120,0.728614
0.0,134,0.731801
0.0,87,0.733721
0.0,173,0.737634
1.0,123,0.74035
0.0,44,0.741352
1.0,281,0.748571
0.0,24,0.749189
0.0,183,0.753223
1.0,255,0.759044
1.0,276,0.765446
1.0,111,0.767882
1.0,49,0.769043
0.0,132,0.771909
0.0,219,0.7767
1.0,74,0.778515
1.0,124,0.782217
0.0,100,0.784426
0.0,22,0.784943
1.0,112,0.787375
1.0,191,0.791673
0.0,53,0.792889
0.0,34,0.794004
1.0,41,0.795006
0.0,104,0.797548
0.0,12,0.797859
0.0,75,0.799739
0.0,15,0.800125
0.0,220,0.805208
0.0,75,0.806889
1.0,69,0.808447
1.0,85,0.810376
0.0,107,0.813673
0.0,176,0.818278
0.0,79,0.820267
0.0,4,0.820433
1.0,184,0.824981
0.0,85,0.827217
0.0,45,0.828262
0.0,157,0.831921
1.0,121,0.834581
0.0,26,0.835231
0.0,9,0.835466
1.0,75,0.837125
1.0,105,0.83942
0.0,34,0.840199
1.0,78,0.841924
1.0,46,0.842956
0.0,4,0.843083
1.0,166,0.848
0.0,8,0.848367
1.0,72,0.850104
0.0,81,0.85191
1.0,178,0.855807
0.0,46,0.856839
0.0,32,0.857574
0.0,16,0.85798
0.0,14,0.858364
0.0,4,0.85849
0.0,288,0.8653
1.0,38,0.86619
0.0,17,0.8666
0.0,87,0.868583
1.0,63,0.869981
1.0,269,0.875783
1.0,70,0.877466
1.0,224,0.88379
0.0,53,0.885139
1.0,125,0.887869
0.0,23,0.8884
0.0,30,0.889091
1.0,113,0.891607
0.0,82,0.893702
0.0,34,0.894505
0.0,123,0.897372
0.0,4,0.897505
0.0,168,0.901176
1.0,113,0.903717
1.0,90,0.905717
0.0,120,0.908317
0.0,158,0.911764
0.0,103,0.915698
1.0,34,0.916508
1.0,180,0.920571
0.0,76,0.922257
0.0,138,0.925313
1.0,259,0.931367
0.0,15,0.93175
0.0,113,0.934247
1.0,41,0.935444
0.0,18,0.935895
0.0,33,0.936664
1.0,70,0.938236
1.0,40,0.939151
1.0,242,0.944468
0.0,151,0.948793
1.0,72,0.950407
1.0,234,0.955748
1.0,62,0.957198
1.0,39,0.958101
1.0,168,0.962521
0.0,148,0.966267
0.0,54,0.967472
0.0,127,0.97029
0.0,159,0.974139
1.0,72,0.975828
0.0,26,0.976498
1.0,26,0.977422
0.0,259,0.984259
1.0,117,0.987
0.0,26,0.987634
1.0,70,0.989238
1.0,149,0.992528
1.0,39,0.993676
0.0,140,0.997137
1.0,33,0.99791
0.0,19,0.998395
1.0,45,0.999414
0.0,8,0.999622
1.0,250,1.005371
1.0,34,1.006173
0.0,302,1.014462
0.0,156,1.018543
1.0,29,1.019279
0.0,65,1.020819
1.0,104,1.02323
0.0,7,1.023432
1.0,278,1.030184
1.0,117,1.032963
1.0,26,1.033633
1.0,46,1.034726
1.0,39,1.035674
0.0,2,1.035759
1.0,23,1.036316
1.0,49,1.037457
0.0,12,1.037768
1.0,63,1.039352
1.0,49,1.040507
1.0,27,1.041173
1.0,355,1.050023
1.0,29,1.0509
1.0,206,1.056199
0.0,19,1.056769
1.0,40,1.057712
1.0,338,1.065542
1.0,48,1.066699
1.0,28,1.067368
0.0,231,1.072544
1.0,32,1.073295
0.0,19,1.073748
0.0,7,1.073941
1.0,30,1.074637
0.0,13,1.074957
1.0,38,1.075823
1.0,40,1.076731
1.0,64,1.078278
0.0,14,1.078692
0.0,20,1.079742
1.0,26,1.080869
1.0,75,1.082818
1.0,42,1.083773
1.0,68,1.085275
1.0,26,1.085877
0.0,112,1.088342
1.0,107,1.090704
0.0,18,1.091138
1.0,27,1.091761
0.0,86,1.093893
1.0,60,1.095248
1.0,28,1.095898
0.0,111,1.098793
1.0,36,1.099637
1.0,36,1.100474
0.0,24,1.101037
1.0,24,1.101675
1.0,31,1.102395
1.0,220,1.107233
0.0,15,1.107602
1.0,58,1.108918
0.0,20,1.109392
0.0,16,1.109773
1.0,27,1.110407
0.0,10,1.110697
0.0,4,1.110823
1.0,25,1.111414
0.0,43,1.113117
1.0,31,1.114358
0.0,12,1.114671
0.0,29,1.115351
1.0,25,1.115944
1.0,25,1.116539
1.0,37,1.117397
0.0,49,1.118511
1.0,31,1.119235
0.0,8,1.119451
1.0,24,1.120246
1.0,28,1.120894
1.0,68,1.122423
1.0,27,1.123055
1.0,28,1.123699
1.0,24,1.124295
1.0,200,1.128922
1.0,26,1.129689
1.0,23,1.130272
0.0,12,1.130571
1.0,25,1.131159
1.0,26,1.131767
1.0,25,1.132355
1.0,34,1.133132
1.0,39,1.134013
1.0,23,1.134561
1.0,23,1.135212
1.0,203,1.139652
0.0,6,1.139827
1.0,25,1.140416
1.0,25,1.141001
1.0,25,1.141588
1.0,27,1.14222
1.0,23,1.142769
1.0,27,1.143399
1.0,32,1.144236
1.0,23,1.144789
1.0,23,1.145414
1.0,23,1.146557
1.0,25,1.147498
1.0,23,1.148411
1.0,28,1.149085
1.0,36,1.149916
1.0,71,1.151509
1.0,23,1.152059
1.0,26,1.152665
1.0,23,1.153216
1.0,23,1.153763
1.0,23,1.154314
1.0,24,1.154875
1.0,23,1.155419
1.0,23,1.155961
1.0,43,1.156918
1.0,27,1.157542
1.0,23,1.158106
0.0,35,1.158901
1.0,25,1.159485
1.0,29,1.160411
1.0,24,1.160982
1.0,26,1.161595
1.0,26,1.162202
0.0,17,1.162609
1.0,24,1.163274
1.0,30,1.163961
1.0,23,1.164508
0.0,19,1.164959
1.0,26,1.165558
1.0,47,1.166614
1.0,23,1.167159
1.0,24,1.167723
1.0,26,1.16836
0.0,6,1.16853
1.0,25,1.169118
0.0,24,1.169676
1.0,24,1.170237
1.0,27,1.17086
1.0,23,1.171404
0.0,19,1.171857
1.0,26,1.172456
1.0,32,1.173189
1.0,24,1.173861
1.0,25,1.174445
1.0,27,1.175066
1.0,27,1.175691
0.0,31,1.176405
0.0,8,1.176616
0.0,4,1.176739
1.0,27,1.177488
0.0,6,1.17767
1.0,25,1.178458
1.0,28,1.179729
0.0,48,1.181144
1.0,23,1.181805
1.0,24,1.1824
1.0,27,1.183057
1.0,23,1.183628
1.0,27,1.184286
1.0,27,1.184944
1.0,24,1.185535
1.0,26,1.186701
1.0,24,1.187374
1.0,232,1.192832
1.0,25,1.193804
1.0,73,1.195959
0.0,26,1.196768
1.0,23,1.197365
1.0,28,1.198025
1.0,23,1.198577
1.0,23,1.199133
1.0,23,1.19969
1.0,23,1.20024
1.0,29,1.200922
1.0,23,1.201475
1.0,26,1.202089
1.0,27,1.202724
1.0,27,1.203358
1.0,23,1.203909
1.0,29,1.204584
1.0,26,1.205197
1.0,28,1.205856
1.0,25,1.206447
1.0,24,1.207049
1.0,30,1.207751
1.0,23,1.208305
1.0,25,1.208896
1.0,24,1.209475
1.0,28,1.21013
1.0,25,1.210731
1.0,23,1.211297
1.0,23,1.211839
1.0,36,1.213323
1.0,29,1.214315
0.0,14,1.214702
1.0,23,1.215247
1.0,26,1.215853
0.0,20,1.216322
1.0,26,1.216922
0.0,8,1.217134
1.0,30,1.217822
1.0,29,1.21849
1.0,27,1.219109
1.0,26,1.219851
1.0,25,1.220431
1.0,26,1.221034
1.0,25,1.221644
1.0,169,1.225497
1.0,25,1.226098
1.0,27,1.226908
0.0,6,1.227103
1.0,27,1.227764
1.0,27,1.228419
0.0,15,1.228795
1.0,23,1.229356
1.0,31,1.230137
1.0,29,1.230829
1.0,23,1.23139
1.0,23,1.231949
1.0,27,1.232597
1.0,25,1.233196
1.0,29,1.233875
1.0,26,1.234493
0.0,11,1.234777
1.0,30,1.235489
1.0,27,1.236137
0.0,19,1.236605
1.0,25,1.237208
0.0,8,1.237427
1.0,33,1.238193
1.0,26,1.238811
1.0,31,1.239545
0.0,6,1.239719
