episodes,steps,total reward
110,10000,10.0
208,20000,22.0
288,30000,30.0
400,40000,49.0
677,50000,205.0
1060,60000,299.0
1469,70000,320.0
1883,80000,320.0
2323,90000,338.0
2746,100000,338.0
