episodes,steps,total reward
117,10000,8.0
216,20000,24.0
325,30000,41.0
493,40000,104.0
816,50000,233.0
1136,60000,223.0
1474,70000,254.0
1809,80000,250.0
2151,90000,246.0
2497,100000,244.0
