episodes,steps,total reward
115,10000,7.0
218,20000,27.0
315,30000,43.0
482,40000,96.0
812,50000,212.0
1141,60000,218.0
1483,70000,244.0
1825,80000,247.0
2172,90000,246.0
2520,100000,255.0
