episodes,steps,total reward
110,10000,7.0
197,20000,31.0
282,30000,38.0
453,40000,94.0
793,50000,228.0
1136,60000,241.0
1490,70000,235.0
1843,80000,240.0
2188,90000,244.0
2537,100000,242.0
