episodes,steps,total reward
111,10000,9.0
207,20000,24.0
287,30000,32.0
409,40000,44.0
666,50000,197.0
1037,60000,299.0
1419,70000,308.0
1830,80000,336.0
2259,90000,339.0
2677,100000,336.0
