# {"t_start": 1662807467.230593, "env_id": "Office-single-v0"} 
r,l,t
0.0,18,0.000837
0.0,32,0.001652
0.0,31,0.002411
0.0,46,0.003505
0.0,29,0.00422
0.0,4,0.00436
0.0,37,0.005285
0.0,78,0.007269
0.0,10,0.007565
0.0,34,0.008634
0.0,30,0.009366
0.0,24,0.009947
0.0,15,0.010331
0.0,72,0.012191
0.0,77,0.01397
0.0,74,0.015686
0.0,90,0.017758
0.0,74,0.019433
0.0,34,0.020233
0.0,19,0.020695
0.0,98,0.022913
0.0,17,0.023326
0.0,100,0.025641
0.0,52,0.027413
0.0,28,0.028687
0.0,62,0.03017
0.0,129,0.033282
0.0,30,0.034031
0.0,8,0.034265
0.0,49,0.03543
0.0,16,0.035834
0.0,21,0.036352
0.0,2,0.036438
0.0,36,0.037304
0.0,84,0.039229
0.0,34,0.040182
0.0,32,0.040952
0.0,39,0.042135
0.0,205,0.04759
0.0,45,0.048896
0.0,21,0.049488
0.0,60,0.052462
0.0,52,0.055056
0.0,35,0.05621
0.0,80,0.058709
0.0,180,0.065431
0.0,57,0.067693
0.0,50,0.069651
0.0,45,0.071081
0.0,9,0.071357
0.0,48,0.07258
0.0,90,0.074713
0.0,8,0.075229
0.0,56,0.076581
0.0,111,0.079245
0.0,63,0.080792
0.0,22,0.081343
0.0,81,0.083246
0.0,15,0.083635
0.0,70,0.08527
0.0,2,0.085366
0.0,6,0.085549
0.0,41,0.086528
0.0,8,0.086752
0.0,70,0.088411
0.0,94,0.090636
0.0,63,0.092137
0.0,36,0.093023
0.0,38,0.094362
0.0,215,0.099898
0.0,19,0.100415
0.0,173,0.10445
0.0,129,0.107454
0.0,161,0.111452
0.0,110,0.114028
0.0,32,0.114805
1.0,150,0.118379
1.0,197,0.122839
0.0,59,0.124208
0.0,293,0.132398
0.0,25,0.133069
0.0,406,0.142975
0.0,140,0.146314
0.0,205,0.151136
1.0,219,0.156244
0.0,12,0.156579
0.0,146,0.160208
0.0,240,0.166509
0.0,69,0.168144
0.0,274,0.174397
0.0,389,0.183584
1.0,170,0.187545
0.0,2,0.187648
0.0,118,0.190357
0.0,175,0.195337
1.0,221,0.200569
0.0,123,0.203521
0.0,128,0.206573
1.0,184,0.21112
1.0,301,0.218066
0.0,83,0.22001
0.0,218,0.225869
0.0,24,0.226686
0.0,78,0.229409
0.0,118,0.232178
0.0,250,0.238619
0.0,21,0.239177
1.0,267,0.245856
1.0,144,0.249143
0.0,190,0.253541
0.0,23,0.254109
1.0,183,0.258518
0.0,7,0.258787
1.0,179,0.263875
0.0,54,0.265171
0.0,194,0.270049
0.0,96,0.272341
0.0,197,0.277101
1.0,197,0.281843
1.0,113,0.284473
0.0,263,0.290282
0.0,9,0.290534
0.0,171,0.295178
0.0,21,0.296147
0.0,9,0.296486
1.0,124,0.299837
0.0,109,0.303275
0.0,13,0.303741
1.0,256,0.310133
0.0,28,0.310845
0.0,110,0.313566
0.0,71,0.315289
0.0,7,0.315503
0.0,59,0.316916
1.0,212,0.32171
0.0,11,0.322006
0.0,11,0.322301
1.0,314,0.331012
0.0,29,0.331807
0.0,62,0.333269
0.0,180,0.337404
0.0,48,0.338555
0.0,7,0.338752
0.0,24,0.339328
0.0,74,0.341217
1.0,216,0.346269
0.0,73,0.347897
0.0,32,0.348634
0.0,75,0.35041
0.0,13,0.350741
1.0,160,0.354278
0.0,23,0.354822
0.0,88,0.356759
0.0,5,0.356908
0.0,153,0.360533
0.0,36,0.362184
0.0,11,0.362736
0.0,49,0.363887
0.0,97,0.366063
0.0,42,0.367038
0.0,86,0.36897
0.0,2,0.369057
0.0,50,0.370201
0.0,166,0.373851
1.0,123,0.376796
0.0,215,0.381651
1.0,101,0.384024
0.0,58,0.385349
0.0,80,0.387138
0.0,11,0.387424
0.0,164,0.39103
0.0,56,0.392366
0.0,123,0.396323
1.0,214,0.401192
0.0,225,0.406319
1.0,194,0.410896
0.0,29,0.411726
0.0,44,0.412884
1.0,137,0.416022
0.0,371,0.424167
0.0,79,0.426062
0.0,14,0.426414
1.0,227,0.432431
0.0,6,0.432638
0.0,60,0.433999
1.0,127,0.436826
0.0,17,0.437243
1.0,205,0.442323
1.0,195,0.446876
