episodes,steps,total reward
123,10000,4.0
205,20000,28.0
298,30000,41.0
477,40000,104.0
799,50000,226.0
1138,60000,235.0
1489,70000,242.0
1838,80000,244.0
2192,90000,241.0
2528,100000,252.0
