episodes,steps,total reward
119,10000,12.0
205,20000,20.0
288,30000,30.0
401,40000,48.0
685,50000,207.0
1059,60000,299.0
1454,70000,312.0
1863,80000,339.0
2288,90000,332.0
2720,100000,339.0
