episodes,steps,total reward
110,10000,6.0
204,20000,26.0
309,30000,40.0
489,40000,96.0
799,50000,231.0
1123,60000,229.0
1464,70000,241.0
1804,80000,246.0
2147,90000,255.0
2502,100000,242.0
