episodes,steps,total reward
112,10000,6.0
223,20000,26.0
326,30000,41.0
502,40000,100.0
814,50000,208.0
1138,60000,237.0
1481,70000,241.0
1822,80000,245.0
2171,90000,258.0
2506,100000,241.0
