episodes,steps,total reward
129,10000,8.0
221,20000,26.0
300,30000,30.0
406,40000,47.0
675,50000,184.0
1075,60000,335.0
1472,70000,308.0
1884,80000,334.0
2306,90000,341.0
2722,100000,343.0
