episodes,steps,total reward
121,10000,11.0
203,20000,22.0
286,30000,30.0
398,40000,45.0
674,50000,196.0
1064,60000,311.0
1462,70000,318.0
1870,80000,334.0
2299,90000,347.0
2728,100000,335.0
