episodes,steps,total reward
111,10000,11.0
204,20000,19.0
293,30000,29.0
404,40000,44.0
650,50000,182.0
1048,60000,313.0
1454,70000,327.0
1872,80000,333.0
2279,90000,342.0
2697,100000,352.0
