# {"t_start": 1662807572.9432802, "env_id": "Office-single-v0"} 
r,l,t
0.0,83,0.002228
0.0,2,0.002328
0.0,36,0.003223
0.0,12,0.00353
0.0,20,0.003999
0.0,18,0.004433
0.0,43,0.005417
0.0,19,0.005852
0.0,18,0.006268
0.0,33,0.007014
0.0,40,0.00819
0.0,22,0.008786
0.0,46,0.009835
0.0,81,0.011683
0.0,121,0.015141
0.0,76,0.016892
0.0,85,0.018795
0.0,48,0.01987
0.0,27,0.020495
0.0,63,0.0219
0.0,27,0.022538
0.0,89,0.024534
0.0,75,0.026219
0.0,76,0.028089
0.0,80,0.029803
0.0,66,0.03145
0.0,21,0.031963
0.0,48,0.033013
0.0,46,0.034053
0.0,28,0.034683
0.0,93,0.037171
0.0,28,0.038009
0.0,65,0.040367
0.0,94,0.043008
0.0,135,0.046741
0.0,94,0.055667
0.0,59,0.057307
0.0,56,0.058771
0.0,29,0.059464
0.0,136,0.062753
0.0,109,0.065303
0.0,58,0.066601
0.0,50,0.067701
0.0,47,0.068792
0.0,79,0.070549
0.0,21,0.07104
0.0,58,0.072319
0.0,69,0.073837
0.0,123,0.076496
0.0,71,0.078092
0.0,51,0.079322
0.0,94,0.082421
0.0,127,0.085533
0.0,131,0.088418
0.0,30,0.089124
0.0,6,0.089302
0.0,68,0.090805
0.0,9,0.091051
0.0,185,0.095423
0.0,17,0.095863
0.0,58,0.097155
1.0,167,0.100953
0.0,79,0.102751
1.0,210,0.107279
0.0,5,0.10745
0.0,13,0.107774
0.0,332,0.116125
0.0,322,0.123504
0.0,131,0.126634
0.0,22,0.12718
0.0,86,0.129333
1.0,201,0.133745
0.0,42,0.134706
0.0,116,0.137439
0.0,109,0.139845
1.0,172,0.143564
0.0,317,0.151454
0.0,110,0.153962
0.0,63,0.155373
1.0,271,0.162169
0.0,210,0.167043
0.0,172,0.170881
0.0,201,0.175214
0.0,96,0.177284
0.0,35,0.178148
1.0,156,0.182365
0.0,63,0.183866
1.0,248,0.189309
0.0,45,0.190322
1.0,295,0.19701
1.0,159,0.200536
0.0,178,0.204481
0.0,10,0.204764
0.0,32,0.205495
0.0,9,0.205733
0.0,4,0.205862
0.0,28,0.206497
0.0,4,0.206622
0.0,135,0.209892
0.0,14,0.210302
1.0,363,0.220116
0.0,162,0.223822
0.0,220,0.228851
1.0,269,0.234871
0.0,16,0.235289
1.0,239,0.240584
0.0,203,0.245115
0.0,32,0.245892
0.0,6,0.246253
0.0,216,0.251659
0.0,48,0.252744
0.0,217,0.257324
0.0,11,0.257611
0.0,27,0.258298
0.0,220,0.263212
0.0,46,0.264229
1.0,285,0.270563
0.0,15,0.27096
0.0,6,0.271135
0.0,15,0.271492
0.0,199,0.275648
0.0,126,0.278464
0.0,191,0.283616
0.0,4,0.283828
0.0,14,0.284186
0.0,20,0.284663
0.0,2,0.284747
1.0,148,0.287989
0.0,127,0.290829
0.0,244,0.296648
0.0,43,0.297769
1.0,162,0.301882
0.0,28,0.302749
0.0,34,0.303573
0.0,34,0.304492
1.0,236,0.30998
1.0,280,0.317692
0.0,42,0.318691
0.0,7,0.318888
1.0,200,0.323181
1.0,226,0.328244
1.0,380,0.336222
0.0,18,0.336654
0.0,16,0.337026
1.0,147,0.340123
0.0,229,0.344918
0.0,61,0.346532
0.0,158,0.350718
0.0,87,0.352611
0.0,58,0.353851
0.0,47,0.354871
0.0,21,0.355355
0.0,53,0.356498
0.0,14,0.35683
0.0,35,0.357606
0.0,45,0.358623
0.0,8,0.358832
0.0,2,0.358912
1.0,78,0.360582
0.0,65,0.362225
0.0,169,0.366025
0.0,53,0.36718
0.0,2,0.367265
0.0,10,0.36751
0.0,206,0.372062
1.0,172,0.375711
1.0,259,0.382526
0.0,61,0.383891
0.0,107,0.386185
1.0,198,0.390462
1.0,197,0.394961
0.0,73,0.396555
0.0,12,0.396855
0.0,42,0.398149
0.0,21,0.398654
0.0,131,0.401446
1.0,234,0.406576
0.0,98,0.408674
0.0,10,0.40893
0.0,104,0.411145
0.0,70,0.412825
1.0,261,0.41936
0.0,6,0.419559
1.0,218,0.424171
