# {"t_start": 1662807829.9837692, "env_id": "Office-single-v0"} 
r,l,t
0.0,11,0.00078
0.0,21,0.001304
0.0,24,0.001868
0.0,35,0.003137
0.0,63,0.004819
0.0,8,0.005066
0.0,47,0.006113
0.0,8,0.006332
0.0,68,0.008034
0.0,37,0.00893
0.0,23,0.009481
0.0,119,0.012111
0.0,24,0.012683
0.0,37,0.013521
0.0,105,0.015768
0.0,40,0.016648
0.0,81,0.018699
0.0,73,0.020476
0.0,28,0.021261
0.0,55,0.022492
0.0,35,0.023268
0.0,117,0.025941
0.0,52,0.02737
0.0,66,0.028772
0.0,65,0.030149
0.0,91,0.032179
0.0,4,0.032307
0.0,26,0.032884
0.0,23,0.033399
0.0,70,0.035007
0.0,74,0.037274
0.0,88,0.039599
0.0,2,0.039717
0.0,47,0.040914
0.0,229,0.04658
0.0,56,0.048296
0.0,47,0.049741
0.0,39,0.051009
0.0,29,0.05173
0.0,46,0.053017
0.0,12,0.053349
0.0,121,0.055955
0.0,93,0.060544
0.0,63,0.062957
0.0,39,0.064093
0.0,66,0.065761
0.0,52,0.066971
0.0,26,0.06762
0.0,63,0.069738
0.0,69,0.071909
0.0,129,0.074709
0.0,94,0.076818
0.0,76,0.078472
0.0,76,0.080139
0.0,18,0.080567
0.0,51,0.08172
0.0,18,0.082158
0.0,30,0.082838
0.0,135,0.086278
1.0,240,0.091477
0.0,49,0.09302
0.0,20,0.09353
0.0,96,0.09567
0.0,64,0.097313
0.0,33,0.098074
0.0,19,0.098525
0.0,106,0.100891
0.0,96,0.103877
0.0,23,0.104651
0.0,178,0.108578
0.0,4,0.108724
0.0,31,0.109435
0.0,13,0.10976
0.0,12,0.110064
1.0,168,0.113706
0.0,9,0.113949
0.0,4,0.114079
0.0,12,0.11438
0.0,4,0.114508
0.0,206,0.119347
0.0,161,0.123039
0.0,156,0.126549
1.0,137,0.13025
0.0,94,0.132304
0.0,47,0.133349
0.0,331,0.141455
0.0,46,0.14252
0.0,73,0.144691
0.0,255,0.150945
0.0,8,0.151202
0.0,231,0.157349
0.0,12,0.157806
1.0,186,0.163265
1.0,280,0.170782
0.0,306,0.177483
0.0,98,0.179656
0.0,103,0.181885
0.0,8,0.182106
0.0,31,0.182809
0.0,33,0.183841
0.0,80,0.185605
1.0,187,0.189811
0.0,17,0.190245
0.0,205,0.195299
0.0,220,0.200232
0.0,117,0.20352
0.0,32,0.204386
1.0,385,0.212664
1.0,169,0.216327
0.0,128,0.219324
0.0,101,0.221663
1.0,118,0.224732
0.0,10,0.225221
0.0,29,0.226008
0.0,215,0.231369
0.0,53,0.232576
0.0,215,0.237931
1.0,198,0.242259
0.0,202,0.247115
1.0,456,0.257327
0.0,146,0.260834
1.0,169,0.264431
0.0,238,0.27006
0.0,8,0.270329
0.0,26,0.271048
0.0,30,0.271727
1.0,73,0.273316
0.0,90,0.275217
0.0,139,0.278189
0.0,12,0.278489
1.0,146,0.28162
0.0,40,0.28254
1.0,144,0.2861
0.0,117,0.288922
0.0,159,0.292617
0.0,152,0.295923
0.0,34,0.296693
0.0,202,0.300989
0.0,167,0.305954
0.0,66,0.307713
1.0,294,0.314677
0.0,41,0.315579
0.0,179,0.319552
0.0,27,0.320167
0.0,42,0.321216
0.0,6,0.321387
0.0,11,0.321654
0.0,34,0.322396
0.0,31,0.323094
0.0,21,0.323573
0.0,76,0.325422
0.0,63,0.327024
0.0,16,0.3274
1.0,201,0.331995
1.0,162,0.336316
0.0,130,0.339843
0.0,43,0.340793
0.0,69,0.342242
1.0,250,0.347494
0.0,207,0.352084
1.0,92,0.354137
0.0,21,0.35463
0.0,240,0.360102
0.0,92,0.362113
0.0,133,0.364936
0.0,63,0.3663
0.0,15,0.366651
1.0,231,0.372657
0.0,64,0.374076
1.0,159,0.377501
0.0,6,0.377682
0.0,48,0.378756
0.0,208,0.383272
1.0,321,0.390421
1.0,183,0.394425
0.0,35,0.395212
1.0,157,0.398468
0.0,25,0.399035
1.0,144,0.402515
0.0,300,0.410333
0.0,49,0.411443
0.0,26,0.412035
0.0,21,0.412514
1.0,199,0.416792
0.0,87,0.418786
0.0,51,0.419885
0.0,40,0.420892
1.0,209,0.425589
0.0,39,0.426563
0.0,41,0.427468
0.0,276,0.433144
0.0,35,0.433995
0.0,194,0.439339
1.0,280,0.445116
0.0,58,0.446404
0.0,168,0.449925
0.0,47,0.451159
1.0,248,0.456553
0.0,17,0.456966
0.0,126,0.459884
0.0,34,0.460709
0.0,37,0.461513
1.0,285,0.467984
1.0,192,0.473249
1.0,182,0.477384
0.0,25,0.477985
1.0,244,0.48323
0.0,67,0.484866
0.0,19,0.485468
0.0,52,0.486651
1.0,273,0.492423
0.0,60,0.493725
0.0,11,0.494
0.0,27,0.494607
1.0,93,0.496563
0.0,115,0.499082
1.0,173,0.50343
0.0,64,0.505176
0.0,64,0.506551
1.0,257,0.511908
1.0,340,0.519463
0.0,59,0.521001
0.0,99,0.523274
1.0,186,0.527349
1.0,202,0.531588
0.0,120,0.534236
0.0,118,0.537644
0.0,173,0.541933
1.0,91,0.544162
0.0,26,0.544867
0.0,114,0.547689
1.0,247,0.553015
0.0,66,0.554626
0.0,41,0.555546
1.0,124,0.558263
0.0,10,0.55877
0.0,47,0.559837
0.0,121,0.562439
0.0,108,0.564744
0.0,92,0.566681
0.0,117,0.570234
0.0,48,0.571859
0.0,138,0.574926
1.0,109,0.577202
1.0,105,0.579403
0.0,7,0.579592
0.0,12,0.579879
0.0,173,0.583695
0.0,116,0.586169
1.0,232,0.591176
0.0,21,0.591741
1.0,262,0.597942
1.0,165,0.601928
0.0,104,0.605209
1.0,212,0.60986
0.0,144,0.612999
0.0,22,0.613533
0.0,46,0.61456
1.0,103,0.616833
0.0,4,0.617104
0.0,41,0.618023
0.0,17,0.61842
0.0,44,0.619368
0.0,121,0.622126
1.0,179,0.626177
1.0,108,0.628667
1.0,126,0.633051
0.0,15,0.633666
0.0,190,0.639302
0.0,55,0.640845
0.0,278,0.675627
1.0,194,0.681411
0.0,52,0.682791
0.0,156,0.686732
0.0,52,0.688001
0.0,106,0.690181
0.0,175,0.693914
0.0,17,0.694312
1.0,330,0.701239
1.0,268,0.70779
0.0,180,0.711626
0.0,166,0.715062
0.0,54,0.716218
0.0,21,0.716712
0.0,264,0.72255
0.0,126,0.725411
1.0,309,0.731851
1.0,270,0.738698
1.0,140,0.7419
0.0,134,0.744701
0.0,48,0.745892
0.0,85,0.747681
0.0,140,0.750829
0.0,53,0.752002
1.0,95,0.754212
0.0,46,0.755219
0.0,154,0.758578
1.0,45,0.759566
0.0,9,0.7598
0.0,236,0.764663
0.0,8,0.764876
0.0,62,0.766203
1.0,99,0.768384
0.0,200,0.773485
0.0,15,0.773914
1.0,97,0.776224
0.0,114,0.77873
0.0,47,0.7798
0.0,82,0.781618
0.0,17,0.782015
1.0,78,0.78414
1.0,75,0.786503
0.0,16,0.787076
0.0,24,0.787716
1.0,119,0.790626
0.0,79,0.792607
0.0,11,0.793219
0.0,45,0.794415
1.0,93,0.796718
0.0,11,0.797015
0.0,14,0.797357
0.0,5,0.797507
0.0,341,0.80575
1.0,97,0.807878
1.0,217,0.812403
1.0,226,0.817319
0.0,234,0.822387
1.0,83,0.82416
1.0,105,0.826442
0.0,59,0.8277
0.0,317,0.834467
1.0,63,0.836488
0.0,68,0.838494
0.0,69,0.840002
0.0,60,0.841298
1.0,148,0.844407
0.0,82,0.846157
0.0,115,0.848607
0.0,12,0.848914
0.0,12,0.849206
1.0,87,0.851303
1.0,43,0.852247
0.0,19,0.852689
0.0,186,0.856727
0.0,16,0.857109
0.0,11,0.857382
1.0,101,0.859608
0.0,2,0.859693
1.0,302,0.865948
1.0,44,0.866917
1.0,170,0.871854
1.0,80,0.873592
1.0,37,0.874409
0.0,23,0.874932
1.0,141,0.877904
1.0,55,0.879076
1.0,126,0.882026
0.0,10,0.882277
1.0,175,0.886249
1.0,32,0.887036
1.0,75,0.88867
0.0,151,0.892068
0.0,52,0.89323
0.0,64,0.894622
0.0,40,0.895503
0.0,74,0.89704
0.0,185,0.900915
0.0,46,0.90189
1.0,54,0.904152
0.0,110,0.90651
0.0,43,0.907436
1.0,63,0.908785
0.0,62,0.91009
0.0,19,0.910517
1.0,81,0.912216
1.0,190,0.916235
0.0,21,0.91688
1.0,32,0.917691
0.0,17,0.918103
1.0,160,0.921637
0.0,192,0.925939
1.0,34,0.926715
1.0,162,0.930108
1.0,74,0.931666
1.0,28,0.93228
0.0,8,0.932485
0.0,92,0.934541
1.0,31,0.935505
0.0,112,0.938833
0.0,180,0.942606
0.0,71,0.944125
1.0,94,0.946105
0.0,10,0.946358
0.0,29,0.946997
1.0,207,0.951825
1.0,36,0.952645
0.0,6,0.952815
1.0,88,0.954824
0.0,86,0.956658
0.0,47,0.957677
1.0,41,0.958787
1.0,72,0.960532
1.0,133,0.963564
1.0,110,0.965913
1.0,37,0.966754
0.0,54,0.968209
0.0,281,0.974932
1.0,28,0.975626
0.0,51,0.976754
1.0,83,0.978559
0.0,98,0.980711
1.0,31,0.98149
1.0,43,0.982568
1.0,41,0.983689
0.0,5,0.983855
1.0,90,0.985817
1.0,47,0.98685
0.0,82,0.988666
0.0,38,0.989508
1.0,30,0.990193
0.0,123,0.993091
1.0,75,0.994745
1.0,32,0.995479
0.0,10,0.995732
0.0,19,0.996168
0.0,28,0.996785
1.0,37,0.997585
0.0,46,0.998566
1.0,153,1.001828
0.0,23,1.003137
1.0,74,1.005148
1.0,41,1.006074
1.0,167,1.009696
0.0,20,1.010195
1.0,42,1.011128
0.0,18,1.011747
1.0,33,1.012557
0.0,48,1.013603
0.0,15,1.013951
1.0,35,1.014711
1.0,35,1.015472
0.0,4,1.015597
1.0,35,1.016364
1.0,46,1.017583
1.0,24,1.018138
0.0,42,1.019584
1.0,25,1.020239
0.0,23,1.020788
0.0,257,1.027211
0.0,50,1.028463
1.0,25,1.029021
1.0,28,1.030009
1.0,66,1.031562
0.0,19,1.032002
1.0,28,1.032626
1.0,32,1.033369
1.0,29,1.034287
1.0,51,1.035811
1.0,42,1.037049
1.0,23,1.037702
1.0,44,1.03886
0.0,118,1.041402
0.0,19,1.04185
0.0,32,1.042578
0.0,67,1.044011
1.0,23,1.044553
1.0,23,1.04509
1.0,29,1.045746
0.0,4,1.045875
0.0,44,1.04684
1.0,23,1.04737
1.0,27,1.04798
0.0,124,1.050843
1.0,25,1.051441
1.0,25,1.052062
1.0,30,1.052751
