episodes,steps,total reward
118,10000,10.0
204,20000,22.0
288,30000,27.0
405,40000,50.0
711,50000,226.0
1095,60000,304.0
1469,70000,300.0
1879,80000,314.0
2304,90000,340.0
2718,100000,333.0
