episodes,steps,total reward
108,10000,11.0
196,20000,23.0
281,30000,30.0
391,40000,42.0
659,50000,191.0
1045,60000,295.0
1436,70000,316.0
1846,80000,317.0
2284,90000,335.0
2714,100000,341.0
