# {"t_start": 1662807452.200653, "env_id": "Office-single-v0"} 
r,l,t
0.0,17,0.000811
0.0,41,0.00182
0.0,32,0.002581
0.0,15,0.002962
0.0,18,0.003404
0.0,20,0.003888
0.0,78,0.005822
0.0,23,0.006385
0.0,62,0.008308
0.0,9,0.00859
0.0,9,0.008837
0.0,56,0.010099
0.0,33,0.010898
0.0,30,0.0116
0.0,10,0.011861
0.0,31,0.012574
0.0,15,0.01294
0.0,73,0.014586
0.0,77,0.016313
0.0,44,0.017315
0.0,22,0.017834
0.0,23,0.018392
0.0,128,0.021165
0.0,143,0.026131
0.0,59,0.02797
0.0,58,0.029422
0.0,60,0.030843
0.0,85,0.033858
0.0,75,0.041889
0.0,87,0.044067
0.0,85,0.045993
0.0,39,0.046969
0.0,110,0.04941
0.0,34,0.050212
0.0,20,0.050704
0.0,50,0.051841
0.0,95,0.053981
0.0,25,0.05456
0.0,46,0.055648
0.0,12,0.055965
0.0,118,0.059303
0.0,52,0.060805
0.0,80,0.063062
0.0,62,0.064683
0.0,18,0.065192
0.0,94,0.067768
0.0,2,0.067873
0.0,126,0.07093
0.0,52,0.072339
0.0,86,0.074281
0.0,101,0.076594
0.0,6,0.076781
0.0,44,0.077806
0.0,43,0.078821
0.0,39,0.079708
0.0,9,0.079965
0.0,76,0.081642
0.0,66,0.083097
0.0,159,0.086596
0.0,105,0.089122
0.0,172,0.094153
0.0,33,0.094975
0.0,153,0.09849
0.0,98,0.10071
0.0,124,0.103759
0.0,29,0.10456
1.0,222,0.110047
1.0,171,0.114011
0.0,78,0.115778
0.0,16,0.116176
0.0,18,0.116614
1.0,395,0.126322
0.0,311,0.133182
0.0,173,0.137251
1.0,180,0.141754
0.0,59,0.143141
0.0,14,0.143507
1.0,216,0.148309
0.0,15,0.148686
1.0,240,0.153911
0.0,79,0.155749
0.0,230,0.162161
0.0,56,0.163474
0.0,85,0.165404
1.0,300,0.172176
0.0,129,0.175334
0.0,141,0.178497
0.0,161,0.182127
0.0,76,0.183861
1.0,260,0.189638
0.0,28,0.190354
0.0,42,0.192454
0.0,338,0.201193
0.0,86,0.203939
0.0,124,0.206949
0.0,169,0.211139
0.0,181,0.218735
1.0,98,0.222684
0.0,149,0.22943
0.0,70,0.232547
0.0,150,0.23757
0.0,213,0.243196
0.0,195,0.248627
0.0,38,0.250262
1.0,208,0.255478
0.0,72,0.258609
0.0,29,0.259716
1.0,213,0.264697
0.0,288,0.27128
0.0,80,0.273282
1.0,209,0.278101
0.0,13,0.278458
1.0,111,0.281014
0.0,56,0.282248
1.0,129,0.285066
0.0,50,0.286179
0.0,148,0.28947
1.0,158,0.293554
0.0,11,0.29387
0.0,9,0.294111
0.0,6,0.294281
0.0,191,0.298378
0.0,55,0.299749
0.0,65,0.301482
0.0,29,0.30223
0.0,21,0.302753
0.0,147,0.306388
0.0,45,0.307453
1.0,197,0.312083
0.0,161,0.315837
0.0,50,0.316967
0.0,39,0.317843
0.0,14,0.318181
0.0,26,0.3188
0.0,20,0.319265
1.0,196,0.324039
0.0,86,0.326554
0.0,201,0.331423
0.0,35,0.332429
0.0,51,0.333693
0.0,96,0.336251
1.0,355,0.344441
0.0,136,0.347454
0.0,41,0.348394
0.0,77,0.350068
1.0,296,0.356472
0.0,8,0.356709
0.0,23,0.357744
0.0,70,0.360039
0.0,132,0.363053
1.0,142,0.36609
0.0,2,0.366179
1.0,309,0.373002
0.0,166,0.376794
0.0,18,0.377224
0.0,85,0.379123
1.0,279,0.385121
0.0,213,0.389749
0.0,42,0.391224
0.0,35,0.392557
0.0,98,0.394975
0.0,69,0.396496
0.0,72,0.398072
0.0,133,0.400941
0.0,17,0.401344
1.0,243,0.40675
1.0,154,0.410438
0.0,60,0.411846
0.0,81,0.413648
1.0,157,0.416986
1.0,213,0.421534
0.0,32,0.422296
1.0,176,0.427611
0.0,59,0.428967
0.0,13,0.429303
0.0,138,0.432338
0.0,34,0.433114
0.0,77,0.434804
1.0,242,0.440366
0.0,173,0.444468
0.0,161,0.447972
0.0,38,0.44882
1.0,342,0.456116
0.0,33,0.457139
1.0,137,0.460743
1.0,280,0.466773
1.0,283,0.473105
0.0,77,0.474931
0.0,82,0.476715
1.0,213,0.481314
1.0,217,0.485958
0.0,5,0.486109
0.0,29,0.486761
0.0,24,0.487305
0.0,187,0.492327
0.0,59,0.493697
1.0,280,0.499955
0.0,8,0.500183
1.0,170,0.503963
0.0,199,0.508678
0.0,25,0.509283
0.0,8,0.5095
1.0,313,0.516238
0.0,93,0.518261
1.0,129,0.521039
0.0,31,0.521755
0.0,200,0.527297
0.0,40,0.528236
0.0,61,0.529561
0.0,159,0.53299
0.0,50,0.534125
0.0,22,0.53464
0.0,72,0.536251
0.0,174,0.540437
0.0,10,0.540747
0.0,110,0.543473
1.0,199,0.547861
0.0,14,0.54821
0.0,2,0.548294
1.0,190,0.552409
0.0,81,0.55421
0.0,182,0.558959
0.0,97,0.561687
1.0,146,0.565297
0.0,2,0.56544
0.0,12,0.565806
1.0,439,0.576065
0.0,44,0.577061
0.0,86,0.578946
0.0,9,0.579185
1.0,445,0.58885
0.0,9,0.58911
0.0,89,0.591929
0.0,172,0.596556
0.0,53,0.59776
1.0,166,0.601333
1.0,348,0.60909
1.0,215,0.613692
0.0,240,0.618802
1.0,138,0.622305
1.0,134,0.626386
0.0,5,0.626576
0.0,30,0.627262
0.0,7,0.627454
0.0,68,0.628931
1.0,326,0.635845
0.0,66,0.637283
1.0,128,0.640304
0.0,132,0.643436
1.0,196,0.647689
1.0,154,0.65103
0.0,70,0.652563
0.0,51,0.653684
0.0,34,0.65445
0.0,88,0.656413
0.0,7,0.656612
0.0,58,0.658779
1.0,165,0.663074
1.0,134,0.665935
0.0,63,0.667299
0.0,178,0.671204
0.0,60,0.672732
1.0,335,0.680316
1.0,227,0.685174
0.0,79,0.686901
1.0,99,0.689159
0.0,117,0.69276
0.0,12,0.693105
0.0,133,0.695944
1.0,101,0.698113
0.0,23,0.698643
1.0,100,0.701096
0.0,165,0.704672
1.0,193,0.709272
1.0,160,0.712809
1.0,202,0.717284
0.0,219,0.722124
1.0,67,0.723768
0.0,122,0.727476
0.0,39,0.728376
1.0,163,0.73198
1.0,242,0.737267
1.0,119,0.740055
0.0,150,0.743476
0.0,51,0.744605
0.0,82,0.746382
0.0,122,0.749304
1.0,338,0.756617
0.0,71,0.759087
1.0,241,0.764501
0.0,52,0.765709
0.0,14,0.766065
1.0,93,0.768227
1.0,143,0.771369
0.0,214,0.776633
0.0,31,0.777671
0.0,19,0.778147
0.0,201,0.782725
1.0,106,0.785108
0.0,6,0.785289
0.0,110,0.787767
1.0,124,0.790663
0.0,98,0.79344
0.0,68,0.795223
0.0,125,0.798241
0.0,6,0.798465
0.0,48,0.799769
0.0,9,0.800025
0.0,123,0.803051
0.0,152,0.806554
0.0,156,0.810153
0.0,171,0.813987
0.0,26,0.814597
1.0,50,0.815753
0.0,19,0.816334
0.0,33,0.817109
1.0,300,0.823597
0.0,12,0.824325
0.0,11,0.824844
0.0,52,0.826439
0.0,243,0.831804
0.0,131,0.834614
0.0,41,0.835529
1.0,70,0.837152
1.0,53,0.838465
1.0,128,0.841523
0.0,130,0.844317
1.0,48,0.845377
0.0,47,0.846414
0.0,73,0.848238
1.0,398,0.856704
1.0,76,0.859473
1.0,42,0.860733
0.0,42,0.861674
0.0,10,0.861926
0.0,56,0.86315
1.0,71,0.864684
1.0,151,0.867925
0.0,20,0.868391
0.0,77,0.870126
1.0,98,0.872437
0.0,97,0.874737
0.0,47,0.875784
1.0,211,0.88033
1.0,51,0.881468
0.0,82,0.883242
1.0,82,0.885026
1.0,94,0.887067
0.0,277,0.894784
1.0,40,0.895727
1.0,78,0.897432
0.0,36,0.898272
0.0,139,0.901531
0.0,31,0.902236
1.0,401,0.911295
0.0,2,0.911401
0.0,45,0.912428
0.0,141,0.915576
0.0,67,0.917077
0.0,52,0.918449
0.0,25,0.919044
