episodes,steps,total reward
112,10000,7.0
205,20000,26.0
310,30000,39.0
480,40000,103.0
797,50000,218.0
1136,60000,237.0
1487,70000,249.0
1835,80000,248.0
2181,90000,246.0
2539,100000,246.0
