episodes,steps,total reward
108,10000,7.0
200,20000,30.0
297,30000,37.0
466,40000,95.0
778,50000,223.0
1105,60000,238.0
1446,70000,251.0
1782,80000,254.0
2132,90000,250.0
2483,100000,226.0
