episodes,steps,total reward
133,10000,12.0
214,20000,20.0
296,30000,32.0
405,40000,44.0
715,50000,227.0
1063,60000,277.0
1445,70000,308.0
1865,80000,342.0
2298,90000,338.0
2728,100000,339.0
