episodes,steps,total reward
123,10000,11.0
222,20000,21.0
309,30000,29.0
403,40000,39.0
646,50000,184.0
1028,60000,300.0
1427,70000,320.0
1844,80000,329.0
2267,90000,341.0
2688,100000,346.0
