episodes,steps,total reward
115,10000,6.0
210,20000,26.0
297,30000,42.0
465,40000,98.0
790,50000,229.0
1124,60000,240.0
1471,70000,238.0
1824,80000,245.0
2183,90000,241.0
2523,100000,243.0
