episodes,steps,total reward
125,10000,12.0
194,20000,23.0
283,30000,28.0
401,40000,44.0
687,50000,192.0
1074,60000,300.0
1495,70000,338.0
1924,80000,334.0
2330,90000,345.0
2762,100000,334.0
