episodes,steps,total reward
108,10000,6.0
212,20000,31.0
297,30000,39.0
473,40000,96.0
798,50000,224.0
1151,60000,235.0
1500,70000,239.0
1846,80000,247.0
2195,90000,236.0
2553,100000,234.0
