# {"t_start": 1662807920.581077, "env_id": "Office-single-v0"} 
r,l,t
0.0,22,0.000989
0.0,40,0.00207
0.0,11,0.002392
0.0,37,0.003332
0.0,5,0.003506
0.0,22,0.004086
0.0,29,0.004835
0.0,48,0.006035
0.0,29,0.006782
0.0,29,0.00765
0.0,95,0.010268
0.0,54,0.011743
0.0,125,0.014974
0.0,34,0.015906
0.0,43,0.017044
0.0,21,0.017642
0.0,95,0.020319
0.0,60,0.022694
0.0,28,0.023527
0.0,18,0.024051
0.0,32,0.024934
0.0,196,0.029652
0.0,58,0.030953
0.0,93,0.033067
0.0,2,0.033182
0.0,25,0.033774
0.0,45,0.034844
0.0,65,0.036515
0.0,78,0.038286
0.0,107,0.04057
0.0,49,0.041809
0.0,159,0.045394
0.0,37,0.046234
0.0,54,0.04743
0.0,44,0.048428
0.0,89,0.050348
0.0,115,0.053453
0.0,2,0.053664
0.0,54,0.055725
0.0,47,0.057156
0.0,45,0.058666
0.0,50,0.060179
0.0,94,0.063572
0.0,64,0.066267
0.0,103,0.070088
0.0,70,0.072483
0.0,77,0.074283
0.0,72,0.075908
1.0,139,0.079229
0.0,70,0.080826
0.0,38,0.081685
0.0,111,0.084109
0.0,110,0.086645
0.0,2,0.086761
0.0,11,0.087102
1.0,262,0.093642
0.0,68,0.095337
0.0,61,0.096751
0.0,32,0.097494
0.0,9,0.097733
0.0,63,0.099126
0.0,86,0.101017
0.0,16,0.101412
0.0,164,0.105261
0.0,17,0.105733
0.0,77,0.107458
0.0,171,0.111683
0.0,364,0.119926
0.0,23,0.12102
1.0,126,0.12413
0.0,42,0.125104
0.0,181,0.129019
0.0,20,0.129506
0.0,2,0.129596
0.0,7,0.129788
0.0,13,0.130115
1.0,352,0.13841
1.0,109,0.140856
0.0,59,0.142183
0.0,154,0.145926
0.0,122,0.148646
0.0,71,0.150227
0.0,97,0.152416
0.0,72,0.154423
1.0,168,0.158479
0.0,10,0.158777
0.0,54,0.159997
0.0,11,0.160283
0.0,36,0.161132
0.0,90,0.163181
0.0,93,0.165258
0.0,47,0.166302
0.0,14,0.166651
0.0,79,0.168608
0.0,156,0.172017
0.0,13,0.172355
0.0,19,0.17281
0.0,186,0.176917
0.0,54,0.178137
0.0,158,0.181598
0.0,18,0.182037
0.0,17,0.182447
0.0,38,0.183298
0.0,167,0.187365
1.0,108,0.190462
0.0,44,0.191505
0.0,100,0.193705
0.0,154,0.197109
1.0,317,0.20425
0.0,89,0.206228
0.0,147,0.209418
0.0,16,0.209839
0.0,15,0.21038
1.0,102,0.212653
0.0,66,0.214137
0.0,48,0.215213
0.0,122,0.217878
1.0,265,0.224527
0.0,138,0.228496
0.0,27,0.229378
0.0,141,0.232831
0.0,182,0.237214
0.0,221,0.242758
0.0,12,0.243192
0.0,34,0.244035
0.0,317,0.251453
1.0,82,0.253366
0.0,100,0.256142
0.0,4,0.256316
0.0,80,0.25807
0.0,131,0.260886
0.0,109,0.263233
0.0,121,0.265839
0.0,14,0.266178
0.0,30,0.26684
0.0,13,0.267146
0.0,6,0.267312
0.0,81,0.269281
0.0,47,0.27037
1.0,166,0.273943
0.0,5,0.274112
1.0,104,0.276343
0.0,12,0.276891
0.0,203,0.281715
1.0,213,0.286535
1.0,250,0.292539
0.0,121,0.295477
0.0,117,0.298071
1.0,172,0.301964
0.0,142,0.305726
0.0,147,0.309404
1.0,93,0.311829
0.0,2,0.311949
0.0,23,0.3126
0.0,95,0.315138
0.0,24,0.315715
0.0,30,0.316404
0.0,20,0.316874
0.0,182,0.321435
1.0,181,0.325729
0.0,93,0.327759
0.0,36,0.328595
0.0,96,0.330711
0.0,20,0.331352
1.0,100,0.333593
1.0,160,0.337377
0.0,14,0.337759
0.0,87,0.339699
1.0,202,0.344485
0.0,6,0.344682
1.0,157,0.348214
0.0,308,0.355744
1.0,147,0.359294
0.0,134,0.362236
0.0,142,0.365361
0.0,19,0.365828
0.0,101,0.368093
0.0,159,0.371781
0.0,31,0.372492
0.0,46,0.373509
0.0,71,0.375026
0.0,89,0.377029
0.0,75,0.378634
0.0,121,0.38117
0.0,33,0.381901
0.0,171,0.38564
0.0,219,0.391737
1.0,235,0.39679
0.0,13,0.397181
1.0,100,0.399382
0.0,55,0.400578
1.0,200,0.40508
0.0,59,0.406372
1.0,235,0.411416
0.0,11,0.411699
1.0,278,0.417548
0.0,50,0.418655
1.0,289,0.426206
0.0,71,0.427786
0.0,121,0.430369
0.0,135,0.433248
0.0,16,0.433626
0.0,17,0.43403
0.0,27,0.434667
0.0,76,0.436545
0.0,170,0.441498
0.0,63,0.442927
0.0,19,0.443566
0.0,57,0.444898
0.0,56,0.446146
0.0,16,0.446536
0.0,128,0.449497
0.0,20,0.449997
1.0,138,0.453322
1.0,109,0.45619
1.0,204,0.460587
0.0,72,0.462153
0.0,32,0.462876
1.0,471,0.473123
0.0,38,0.473983
0.0,31,0.474686
0.0,62,0.476008
1.0,299,0.482715
0.0,185,0.487
0.0,45,0.488354
0.0,11,0.488679
0.0,7,0.488888
0.0,73,0.490435
1.0,173,0.494053
1.0,201,0.498306
0.0,30,0.498983
0.0,29,0.499635
0.0,73,0.501203
1.0,183,0.505363
0.0,42,0.506341
0.0,12,0.506641
0.0,149,0.509953
0.0,13,0.51032
0.0,123,0.512957
0.0,133,0.515845
0.0,16,0.516232
0.0,23,0.516771
1.0,197,0.522038
0.0,9,0.522402
0.0,15,0.522771
0.0,12,0.523069
1.0,173,0.526933
1.0,359,0.534654
0.0,61,0.536281
1.0,107,0.539217
0.0,108,0.54188
0.0,94,0.544588
0.0,52,0.546033
0.0,93,0.548476
0.0,78,0.550214
1.0,141,0.553916
0.0,37,0.554988
0.0,16,0.555453
0.0,235,0.560665
0.0,88,0.562604
1.0,224,0.567448
0.0,33,0.56839
0.0,54,0.569674
0.0,64,0.571065
0.0,15,0.571423
1.0,147,0.574538
1.0,275,0.580499
1.0,269,0.586249
1.0,268,0.592778
0.0,17,0.593216
0.0,92,0.595248
0.0,204,0.599661
0.0,228,0.604771
0.0,7,0.60498
0.0,90,0.606882
1.0,183,0.610817
1.0,87,0.612662
1.0,135,0.615484
0.0,94,0.617461
0.0,40,0.618328
1.0,104,0.621025
0.0,243,0.62673
0.0,28,0.627388
1.0,128,0.630111
0.0,124,0.63278
1.0,115,0.63548
0.0,221,0.64019
1.0,114,0.642671
0.0,23,0.643389
0.0,97,0.645793
1.0,305,0.652635
0.0,207,0.657964
1.0,310,0.664683
0.0,113,0.667269
0.0,61,0.668876
1.0,103,0.671083
1.0,94,0.673091
0.0,144,0.676133
1.0,230,0.681041
0.0,15,0.6814
0.0,17,0.681801
0.0,4,0.681919
1.0,126,0.684591
1.0,116,0.687566
1.0,160,0.691546
0.0,8,0.691779
1.0,204,0.696188
0.0,9,0.696425
0.0,12,0.696717
1.0,133,0.699545
0.0,100,0.701922
0.0,18,0.702362
0.0,60,0.703721
0.0,75,0.705335
0.0,70,0.706844
1.0,73,0.708531
0.0,48,0.709617
1.0,80,0.711408
1.0,261,0.716875
0.0,41,0.717783
0.0,18,0.718202
0.0,193,0.723393
0.0,7,0.72362
1.0,78,0.725292
1.0,226,0.729977
0.0,91,0.731926
1.0,120,0.734459
0.0,31,0.735364
1.0,449,0.745107
0.0,107,0.747478
0.0,6,0.747679
0.0,69,0.74918
0.0,94,0.751177
0.0,50,0.75254
1.0,81,0.755123
0.0,85,0.757053
0.0,200,0.761293
0.0,171,0.764909
