episodes,steps,total reward
109,10000,7.0
212,20000,22.0
299,30000,41.0
472,40000,102.0
806,50000,220.0
1142,60000,229.0
1490,70000,248.0
1839,80000,248.0
2176,90000,243.0
2535,100000,242.0
