episodes,steps,total reward
113,10000,10.0
216,20000,18.0
298,30000,32.0
433,40000,46.0
715,50000,206.0
1085,60000,293.0
1481,70000,314.0
1904,80000,340.0
2342,90000,345.0
2769,100000,350.0
