episodes,steps,total reward
119,10000,7.0
223,20000,25.0
323,30000,43.0
482,40000,90.0
798,50000,228.0
1130,60000,243.0
1475,70000,245.0
1822,80000,237.0
2172,90000,235.0
2526,100000,237.0
